S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
1033,Beginner Italian,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Beginner-italian.jpg,26-2R,8,Tony Buzan,Sách học và hoạt động,Ngôn ngữ khác,Collins,"Designed to help every type of learner-whether auditory, visual, or tactile - this unique language guide revolutionizes the process of Sách học và hoạt động a language by incorporating the renowned Mind Maps(R) system. Memory techniques such as visual and sound association are utilized to help organize vocabulary and grammar rules in a way that make them easy to remember. Access to a free website that provides extra Sách học và hoạt động resources, printable mind maps, and video clips is also included, making this a complete, well-rounded approach that will make Sách học và hoạt động a new language easier than ever before.",Từ 13 tuổi trở lên
1099,Big and Small: Small to the rescue,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Big-and-Small-Small-to-the-rescue.jpg,17-2,71,Harpercollins UK,Sách truyện thiếu nhi,7-9 tuổi,HarperCollins Children’s Books,"It's Small to the rescue when Big gets his head stuck in the door! Small is overjoyed that his help is needed, but how will he manage to unstick Big? And will he free his friend in time for tea?
 It is the perfect world for big adventures and small friends. However big or small you are, expect big laughs from this book. Read the story and relive the fun with this fantastic story book based on a great episode from the TV series!",7-9 tuổi
1235,Bob the builder: Scoop saves the day,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bob-the-builder-Scoop-saves-the-day.jpg,13-4,65,Diane Redmond,Sách truyện thiếu nhi,7-9 tuổi,Simon Spotlight,"When Pilchard gets stuck in a tree, hanging on for dear life right over a pond, Scoop must save Pilchard all by himself since Bob is off on another job.",7-9 tuổi
1369,Bullies never win,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bullies-never-win.jpg,12-4,4,Margery Cuyler,Sách truyện thiếu nhi,7-9 tuổi,Simon & Schuster Childrens Books,"When the class bully, Brenda Bailey, makes fun of Jessica’s skinny legs and her boyish lunch box, Jessica doesn’t know what to do. She doesn’t want to be a tattletale, but she also wants the bullying to stop. Can Jessica find the courage to stand up for herself? From the team behind the first three books about Jessica and her worries, Bullies Never Win is immediately relatable, relevant, and a must-have for every school and library.",7-9 tuổi
1370,Bumble-Ardy,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bumble-Ardy.jpg,5-2,40,Maurice Sendak,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins Children’s Books,"A mischievous pig reaches the age of nine without ever having a birthday party. But all that changes when Bumble-Ardy throws a party for himself and invites all his friends, leading to a wild masquerade that quickly gets out of hand.",3-6 tuổi
1371,Bumble-Ardy,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bumble-Ardy.jpg,5-2,41,Maurice Sendak,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins Children’s Books,"A mischievous pig reaches the age of nine without ever having a birthday party. But all that changes when Bumble-Ardy throws a party for himself and invites all his friends, leading to a wild masquerade that quickly gets out of hand.",3-6 tuổi
1372,Bumble-Ardy,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bumble-Ardy.jpg,5-2,42,Maurice Sendak,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins Children’s Books,"A mischievous pig reaches the age of nine without ever having a birthday party. But all that changes when Bumble-Ardy throws a party for himself and invites all his friends, leading to a wild masquerade that quickly gets out of hand.",3-6 tuổi
1472,Captain Pepper's Pets,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Captain-Pepper_s-pets.jpg,10-4,64,Sally Grindley,Sách truyện thiếu nhi,7-9 tuổi,‎Macmillan Children's Books,"Anything but a parrot! Captain Pepper wants a pet. He wants to be different... He wants to be famous... so a boring old parrot just won’t do. The fiery captain sets his pirate crew to find the perfect pet. They try a hippopotamus, a monkey,and a leopard – each with hilariously disastrous results. Finally, they alight upon a python, and Captain Pepper is delighted - but the last laugh is on him when his not so cuddly companion has him for dinner! At last his browbeaten crew can sail home in peace. The ideal blend of fun, identifiable characters and strong storyline, with a motley crew of pets and pirates, make this perfect for beginner readers.",7-9 tuổi
1473,Captain Rainbow,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Captain-Rainbow.jpg,6-3,47,Sue Graves,Sách truyện thiếu nhi,3-6 tuổi,Franklin Watts,"Captain Rainbow decides to buy himself a new boat. He goes shopping on the internet, but he doesn't quite get the boat he had hoped for!",3-6 tuổi
1488,Carla Crocodile goes to see the king,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Carla-Crocodile-goes-to-see-the-king.jpg,6-4,12,Ben Smith,Sách truyện thiếu nhi,3-6 tuổi,Macmillan Education,Carla the Crocodile travels to see the king for a very special request!,3-6 tuổi
1526,Cecily Cicada,http://lotuscommunity.org.vn/wp-content/uploads/2021/07/Cecily-Cicada.jpg,13-4,64,Kita Murdock,Sách truyện thiếu nhi,7-9 tuổi,Possum Products,"A delightful book, written by a mother/ daughter before the 17-year cicada invasion of 2004. They wrote it to ease the insect anxiety of their 3-year-old granddaughter/ daughter when they learned the cicadas were coming. It tells the miraculous life of a special 17-year cicada named Cecily in an endearing way. Beautifully illustrated and fun. Your child will want to find a Cecily of her/ his own. A cicada cult classic.",7-9 tuổi
1783,Comprehending informational text: book B,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Comprehending-informational-text-book-B.jpg,28-2R,3,Diane Henderson,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),RIC Publications,"* Provide opportunities for students to locate and interpret information from a variety of informational texts.
 * Include road maps, programs, invitations, posters, atlases and timetables.
 * Students are required to locate literal information, interpret and infer ideas, relate to and evaluate their own experiences.
 * Each set of activities provides an individual, class and group component.
 * Teachers notes, outcome links and answers.",10-12 tuổi
1784,Comprehending informational text: book D,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Comprehending-informational-text-book-D.jpg,28-2R,18,Diane Henderson,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),RIC Publications,"* Provides opportunities for students to locate and interpret information from a variety of informational. 
 * The blackline master activities include road maps, programs, invitations, posters, atlases and timetables
 students are required to locate literal information, interpret and infer ideas, relate to and evaluate their. 
 * Each set of activities provides an individual, class and group component.
 * Teachers notes, outcome links and answers.",10-12 tuổi
1785,Comprehending informational text: book G,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Comprehending-informational-text-book-G.jpg,28-2R,17,Diane Henderson,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),RIC Publications,"* Provides opportunities for students to locate and interpret information from a variety of informational. 
 * The blackline master activities include road maps, programs, invitations, posters, atlases and timetables
 students are required to locate literal information, interpret and infer ideas, relate to and evaluate their. 
 * Each set of activities provides an individual, class and group component.
 * Teachers notes, outcome links and answers.",10-12 tuổi
2384,Dumbo,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Dumbo.jpg,11-3,47,Disney,Sách truyện thiếu nhi,7-9 tuổi,Parragon Books,"Dumbo is a little elephant with big spirit - and even bigger ears. He doesn't have many friends at the circus, until he meets Timothy the circus mouse and discovers a hidden talent that will make him into a star! Beautifully illustrated on every page, this classic Disney storybook is sure to become a favorite in any beginning library. It makes an excellent first reader for young children.",7-9 tuổi
2394,Early themes: me,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Early-themes-Me.jpg,28-2R,15,RIC Publications,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),RIC Publications,"This book focuses on the theme of Me. 
 - Simple and clear worksheets, containing maximum visual input and requiring minimal reading and writing.
 - Eeach worksheet accompanied by detailed teachers notes including activity objectives, background information, suggestions for additional activities, answers and a list of support resources; e.g. stories, songs, poems and websites.",10-12 tuổi
2548,English grammar for students with exercises,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/English-grammar-for-students-with-exercises.jpg,29-1,32,Anne Seaton,Sách học và hoạt động,Tiếng Anh (Từ 13 tuổi trở lên),Learners Publishing,"This book is specially written for students aged between 9 and 12 in countries where English is taught as a first language. It is also suitable for secondary or high school students in countries where English is taught as a second or foreign language. It gives systematic guidance to students in the study of grammar, helping them lay a strong foundation for good English.",Từ 13 tuổi trở lên
2550,English toolkit,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/English-toolkit.jpg,29-1,38,Malcolm Garrett,Sách học và hoạt động,Tiếng Anh (Từ 13 tuổi trở lên),Macmillan Education,"This indispensable reference guide targets the technical skills that underpin successful communication in English. Divided into clear sections addressing grammar, punctuation and spelling, it provides students with the tools they need to communicate effectively.",Từ 13 tuổi trở lên
2617,Excel in grammar,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Excel-in-grammar.jpg,29-1,30,Maria Sharma,Sách học và hoạt động,Tiếng Anh (Từ 13 tuổi trở lên),Success Publications,"This book is written to fulfil the required needs and provides, above all else, an in-depth understanding of language and grammar. It is intended as a supplement for students preparing for the English paper in the examinations.This book is instructional and meets the objectives laid down in the latest syllabus prescribed by the Ministry of Education.",Từ 13 tuổi trở lên
2820,Finding Nemo: fish school,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Finding-Nemo-fish-school.jpg,10-4,61,Seymour Mackerel,Sách truyện thiếu nhi,7-9 tuổi,Disney,"Relive the magic of Disney/Pixar, Finding Nemo with this full-color die-cut storybook in the shape of the sweet clown fish Nemo! Join Nemo as he has unforgettable adventures that lead him from the Great Barrier Reef, to a dentist's fish tank, and back again.",7-9 tuổi
2826,Finished already: meaningful activities for early finishers,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Finished-already-meaningful-activities-for-early-finishers.jpg,28-2R,14,RIC Publications,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),RIC Publications,"The problem of children finishing classroom activities at different times is one that confronts teachers every day of the school year, it is a fact of teaching life. What to do with these children is a task that has been approached in many and varied ways. These blackline masters aim to provide the teacher with activities that will help to solve this problem.",10-12 tuổi
3096,Gajapati Kulapati Kalabalooosh!,http://lotuscommunity.org.vn/wp-content/uploads/2021/07/Gajapati-Kulapati-Kalabalooosh.jpg,8-4,5,Ashok Rajagopalan,Sách truyện thiếu nhi,7-9 tuổi,Tulika,This story about what happens when Gajapati Kulapati catches a mighty big cold is told with simple text and simply delightful pictures.,7-9 tuổi
3127,George and Flora's big party,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/George-and-Flora_s-big-party.jpg,10-1,2,Jo Elworthy,Sách truyện thiếu nhi,7-9 tuổi,Eden Project,"Mum's broken her arm and George and Flora go and ask Grandpa to help with making jam tarts. While they are there, he asks them to drop some eggs off at his neighbours, and gradually they realize that no one in the street knows each other and want to help. So they organise an amazing street party with lots of delicious home-cooked meals to eat.",7-9 tuổi
3208,Ghostyshocks and the three mummies,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Ghostyshocks-and-the-three-mummies.jpg,10-3,67,Laurence Anholt,Sách truyện thiếu nhi,7-9 tuổi,Orchard Books,"When Ghostyshocks messes with some mad, mangy and murderous mummies, she's bound to get tangled up in all sorts of trouble!",7-9 tuổi
3216,Gideon and Otto,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Gideon-and-Otto.jpg,15-2,49,Olivier Dunrea,Sách truyện thiếu nhi,7-9 tuổi,HMH Books for Young Readers,"Gideon has a favorite friend, his toy octopus. He brings Otto with him everywhere. But one day Otto doesn't stay right where Gideon put him. Gideon must find Otto before day's end!",7-9 tuổi
3220,Gilbert Goldfish wants a pet,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Gilbert-Goldfish-wants-a-pet.jpg,7-4,15,Kelly DiPucchio,Sách truyện thiếu nhi,7-9 tuổi,Dial Books,"Gilbert has almost everything his fishy heart could desire: a castle, a chest filled with treasure, and food that falls from the sky. But there's one big thing missing from his life: a pet. And so begins Gilbert's harrowing search for the perfect fishbowl companion - a search filled with loud barking, quiet buzzing, and one giant whiskered surprise!",7-9 tuổi
3235,Give the dog a bone,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Give-the-dog-a-bone.jpg,14-4,25,Allan Ahlberg,Sách truyện thiếu nhi,7-9 tuổi,Puffin,The dog skeleton is falling apart - bits of him are dropping off - bone by bone! Who will pick up the pieces and put him back together again?,7-9 tuổi
3238,Glory,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Glory.jpg,8-4,3,Nancy White Carlstrom,Sách truyện thiếu nhi,7-9 tuổi,Warner Brothers,"With words that sing and colors that spill joy across the pages, author Nancy White Carlstrom and illustrator Debra Reid Jenkins celebrate creation and the way every creature praises God. Whether winged or finned or furry, each creature - by being and doing what it was made to be and do - gives glory to the Creator.",7-9 tuổi
3284,Golly Gump swallowed a fly,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Golly-Gump-swallowed-a-fly.jpg,13-4,63,Joanna Cole,Sách truyện thiếu nhi,7-9 tuổi,Dutton Childrens Books,A prize-winning yawner encounters steadily increasing troubles as he tries to get rid of the fly he accidentally swallows.,7-9 tuổi
3288,"Good dog, Aggie",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Good-dog-Aggie.jpg,12-4,67,Lori Ries,Sách truyện thiếu nhi,7-9 tuổi,Charlesbridge,"In this sequel to Aggie and Ben, the best friends are back for more day-to-day fun. Young readers will laugh out loud at Aggie's irrepressible antics and Ben's determined attempts to train her. Three short chapters, just right for beginning readers, follow Aggie and Ben on their adventures in doggie training, obedience, and friendship.",7-9 tuổi
3289,"Good driving, Amelia Bedelia",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Good-driving-Amelia-Bedelia.jpg,16-4,54,Herman Parish,Sách truyện thiếu nhi,7-9 tuổi,Greenwillow Books,"When Mr. Rogers goes for a drive with Amelia Bedelia, he's in for the ride of his life. She does exactly what he tells her - and that gets them into trouble, but only Amelia Bedelia can make a car trip this much fun!",7-9 tuổi
3290,"Good driving, Amelia Bedelia",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Good-driving-Amelia-Bedelia.jpg,10-2,8,Herman Parish,Sách truyện thiếu nhi,7-9 tuổi,Greenwillow Books,"When Mr. Rogers goes for a drive with Amelia Bedelia, he's in for the ride of his life. She does exactly what he tells her - and that gets them into trouble, but only Amelia Bedelia can make a car trip this much fun!",7-9 tuổi
3296,"Good job, Oliver",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Good-job-Oliver.jpg,8-3,59,Laurel Molk,Sách truyện thiếu nhi,7-9 tuổi,Dragonfly Books,"When little Oliver Bunny enters the Strawberry Contest, the big bunnies just laugh at him. Little bunnies grow little berries, they tease. But with his mother's encouragement, Oliver is determined to win. He plants his strawberry patch far away from the big bunnies' patch and hopes for the best. Then -- STOMP! STOMP! STOMP! -- the berry-loving BEARS arrive! And only little Oliver bunny thinks of a way to save his beautiful strawberries, save the day, and win the strawberry contest. Suddenly size isn't important anymore -- except when it comes to a giant Mother Bunny hug and a big slice of strawberry pie",7-9 tuổi
3362,Grammar Ray: adjectives,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Grammar-Ray-adjectives.jpg,18-4,32,Andrew Carter,Sách truyện thiếu nhi,7-9 tuổi,Windmill Books,"It is difficult to describe adjectives, but they certainly are a useful, and sometimes colorful, part of speech. Your readers and young grammaticians-to-be can join Verb-man for another adventure in Sách học và hoạt động the lexicon. This particular journey is fraught with danger from very well-described adversaries.",7-9 tuổi
3364,Grammar: ages 10+,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Grammar-ages-10-plus.jpg,28-2R,16,Chris Weckert,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),Macmillan Education,"This fabulous resource is full of motivational games for your students to play to reinforce grammar skills.
 It is especially suitable to teach and motivate students experiencing difficulties. A skills overview chart makes it easy to find games to teach specific grammar skills and concepts.
 This book is packed with fun and practical games that either teach new skills, or offer practise and consolidation of skills.",10-12 tuổi
3410,Green,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Green.jpg,11-3,18,Mark Sperring,Sách truyện thiếu nhi,7-9 tuổi,Meadowside Children's Books,"A witty, familiar and well-observed depiction of sibling relationships.",7-9 tuổi
3411,Green,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Green.jpg,10-2,41,Mark Sperring,Sách truyện thiếu nhi,7-9 tuổi,Meadowside Children's Books,"A witty, familiar and well-observed depiction of sibling relationships.",7-9 tuổi
3467,"Gunner, football hero",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Gunner-football-hero.jpg,18-2,18,James Ransome,Sách truyện thiếu nhi,7-9 tuổi,Holiday House,"So what if Gunner is rounder than most football players? He throws a stellar pass! When he becomes third-string quarterback on his Pee Wee Football team, he fears he won't ever get to take the field. But in the championship game his team's luck runs out, and it is up to Gunner to lead them to victory. Will his awesome arm save the game? James Ransome's illustrations add humor and life to this unusual story about sportsmanship.",7-9 tuổi
3554,Harry goes to dog school,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Harry-goes-to-dog-school.jpg,7-4,12,Scott Menchin,Sách truyện thiếu nhi,7-9 tuổi,Balzer and Bray,"Harry doesn't want to be a boy. He would rather be a dog. Harry's parents try everything, but he is only interested in barking, biting, and rolling around on the ground. There is only one option left: dog school! And the Pavlov Royal Academy doesn't shy away from a challenge. Will Harry learn to be a good dog... or a good boy?",7-9 tuổi
3619,Hello goodbye and a very little lie,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Hello-goodbye-and-a-very-little-lie.jpg,14-3,38,Christianne Jones,Sách truyện thiếu nhi,7-9 tuổi,Picture Window Books,Larry lies about everything. Find out what he does when he gets caught in one of his lies.,7-9 tuổi
3620,Hello goodbye and a very little lie,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Hello-goodbye-and-a-very-little-lie.jpg,14-3,37,Christianne Jones,Sách truyện thiếu nhi,7-9 tuổi,Picture Window Books,Larry lies about everything. Find out what he does when he gets caught in one of his lies.,7-9 tuổi
3621,Hello my name is Bob,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Hello-my-name-is-Bob.jpg,8-1,39,Linas Alsenas,Sách truyện thiếu nhi,7-9 tuổi,Scholastic,"Bob is a bear who feels he's very boring, especially in comparison to his lively friend Jack. But in the course of this book, Bob learns that every bear has his own way of doing things - and there isn't a right way or a wrong way.",7-9 tuổi
3622,Hello my name is Bob,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Hello-my-name-is-Bob.jpg,8-1,47,Linas Alsenas,Sách truyện thiếu nhi,7-9 tuổi,Scholastic,"Bob is a bear who feels he's very boring, especially in comparison to his lively friend Jack. But in the course of this book, Bob learns that every bear has his own way of doing things - and there isn't a right way or a wrong way.",7-9 tuổi
3968,How Rocket learned to read,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/How-Rocket-learned-to-read.jpg,7-1,7,Tad Hills,Sách truyện thiếu nhi,7-9 tuổi,Random House Children's Books,"Learn to read with this New York Times best-selling picture book, starring an irresistible dog named Rocket and his teacher, a little yellow bird. Follow along as Rocket masters the alphabet, sounds out words, and finally... learns to read all on his own!
 
 With a story that makes reading fun—and will even help listeners learn to read—this book is ideal for kindergarten classrooms and story hour or as a gift for that beginning reader. Fresh, charming art by Tad Hills, the New York Times bestselling author/illustrator of Duck & Goose, will make this a favorite.",7-9 tuổi
3969,How Rocket learned to read,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/How-Rocket-learned-to-read.jpg,18-2,13,Tad Hills,Sách truyện thiếu nhi,7-9 tuổi,Random House Children's Books,"Learn to read with this New York Times best-selling picture book, starring an irresistible dog named Rocket and his teacher, a little yellow bird. Follow along as Rocket masters the alphabet, sounds out words, and finally... learns to read all on his own!
 
 With a story that makes reading fun—and will even help listeners learn to read—this book is ideal for kindergarten classrooms and story hour or as a gift for that beginning reader. Fresh, charming art by Tad Hills, the New York Times bestselling author/illustrator of Duck & Goose, will make this a favorite.",7-9 tuổi
4315,I'm not sleepy,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/I_m-not-sleepy.jpg,9-2,7,Jane Chapman,Sách truyện thiếu nhi,7-9 tuổi,Little Tiger Press,"It's bedtime, and Mo isn't sleepy. Not one tiny bit. 'I don't want to go to bed!' he giggles. 'I want to play!'.",7-9 tuổi
4384,Insects: lower primary themes,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Insects-lower-primary-themes.jpg,28-2R,26,Donna Cocking,Sách học và hoạt động,Tiếng Anh (10-12 tuổi),RIC Publications,"Each theme provides a wide variety of activities which can easily integrate into the major curriculum areas. Themes are topics of high interest to children in that age group. The worksheets can be used as individual, small group and whole class activities or for homework assignments.",10-12 tuổi
4454,It's almost time,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/It_s-almost-time.jpg,17-3,42,Debbie Bernstein LaCroix,Sách truyện thiếu nhi,7-9 tuổi,Kane/Miller Book Publishers,"It's almost time...the gears are winding, getting ready to chime! Are you ready? Join the countdown to the most colossal cacophony of clock sounds ever! From chimes to ding dongs, from grandfather clocks to cuckoos, this collection of sounds will have young readers buzzing with excitement.",7-9 tuổi
4455,It's almost time,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/It_s-almost-time.jpg,18-2,26,Debbie Bernstein LaCroix,Sách truyện thiếu nhi,7-9 tuổi,Kane/Miller Book Publishers,"It's almost time...the gears are winding, getting ready to chime! Are you ready? Join the countdown to the most colossal cacophony of clock sounds ever! From chimes to ding dongs, from grandfather clocks to cuckoos, this collection of sounds will have young readers buzzing with excitement.",7-9 tuổi
4759,"Kindergarten, here I come",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Kindergarten-here-I-come.jpg,17-3,76,D. J. Steinberg,Sách truyện thiếu nhi,7-9 tuổi,Penguin Young Readers,"This adorable picture book celebrates all the familiar milestones and moments shared by every single kindergartener. Whether it's the first-day-of-school jitters or the hundredth-day-of-school party, every aspect of the kindergarten experience is introduced with a light and funny poem - not to mention charming illustrations.",7-9 tuổi
4760,"Kindergarten, here I come",https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Kindergarten-here-I-come.jpg,17-3,75,D. J. Steinberg,Sách truyện thiếu nhi,7-9 tuổi,Penguin Young Readers,"This adorable picture book celebrates all the familiar milestones and moments shared by every single kindergartener. Whether it's the first-day-of-school jitters or the hundredth-day-of-school party, every aspect of the kindergarten experience is introduced with a light and funny poem - not to mention charming illustrations.",7-9 tuổi
4802,Knight school,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Knight-school.jpg,10-2,49,Daphne Pendergrass,Sách truyện thiếu nhi,7-9 tuổi,Simon Spotlight,"Let Mike the Knight teach you everything you need to know to be ‘knightly’ in this wonderful 8x8 storybook based on the beloved TV series!
 Mike has decided it is time to teach Robin, Marion, and all the dragons how to be knightly by starting his very own “Knight School!” But his friends don’t seem to want to listen to his rules! Will Mike be able to convince his friends to have fun and learn to be great knights at the same time?",7-9 tuổi
4822,Kontakte: German 3 and German 4,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Kontakte-German-3-and-German-4.jpg,26-2R,1,Tschirner,Sách học và hoạt động,Ngôn ngữ khác,McGraw-Hill Education,"Kontakte continues to offer a truly communicative approach that supports functional proficiency, supported by the full suite of digital tools available in Connect German (now including LearnSmart!). This proven Introductory German program maintains its commitment to meaningful communicative practice as well as extensive coverage of the 5 Cs and the ACTFL Proficiency Guidelines 2012.",Từ 13 tuổi trở lên
