S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
3436,Grown-ups make you grumpy,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Grown-ups-make-you-grumpy.jpg,11-2,017,Carrie Weston,Sách truyện thiếu nhi,7-9 tuổi,Pearson Education,"Sometimes, it's difficult for the adults to understand what the kids are thinking. How do we solve this problem?",7-9 tuổi
3512,Hansel and Gretel,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Hansel-and-Gretel.jpg,12-1,035,Lucy George,Sách truyện thiếu nhi,7-9 tuổi,Koala Books,"Hansel and Gretel live in the forest with their parents, but one day their parents lead them into the forest and desert them. When they find a gingerbread house, they can't believe their luck, but soon they are ensnared by a witch. They have to help each other to break the witch's spell and find their way home.",7-9 tuổi
3517,Happiness is a watermelon on your head,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Happiness-is-a-watermelon-on-your-head.jpg,11-3,029,Daniel Hahn,Sách truyện thiếu nhi,7-9 tuổi,Phoenix Yard Books,"To the villagers who watch her going about her day, it is clear that Miss Jolly is irritatingly happy. Her never-ending cheerfulness leaves three of her neighbors highly confused and jealous, driving them to ridiculous and hilarious measures in an attempt to compete with Miss Jolly in the happiness - and headgear - stakes. Beautiful and insane in equal measure, this wacky book follows three local busybodies on their journey to discover the secret of true happiness.",7-9 tuổi
3522,"Happy birthday, Bertie",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Happy-birthday-Bertie.jpg,16-2,020,Marcus Pfister,Sách truyện thiếu nhi,7-9 tuổi,NorthSouth,Bertie and his friends are determined to make his birthday party the best ever. Pfister's sweet story and charming illustrations make this a party readers won't want to miss.,7-9 tuổi
3531,"Happy Halloween, Stinky Face",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Happy-Halloween-Stinky-Face.jpg,7-2,070,Lisa McCourt,Sách truyện thiếu nhi,7-9 tuổi,Scholastic,"""Mama, what if Mrs. Petry doesn't know it's really just me at her door? What if she gets so surprised from my super-scary costume that she throws her candy bowl up and it lands on her head and candy spills all over?"" It's almost time to go trick-or-treating, but first Stinky Face has just a few questions for Mama. As always, Mama lovingly addresses each and every one of her child's concerns. A sweet and reassuring Halloween tale from Lisa McCourt and Cyd Moore!",7-9 tuổi
3689,Hero dad,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Hero-dad.jpg,16-4,052,Melinda Hardin,Sách truyện thiếu nhi,7-9 tuổi,Two Lions,"Some superheroes wear rocket-propelled boots, drive super-powered cars, and have X-ray vision. But other superheroes wear army boots, drive tanks, and go away for long trips to make the world a safer place. It's a tough job, but that's what superheroes have to do. With Melinda Hardin's simple text and with Bryan Langdo's endearing watercolor-and-pencil illustrations, Hero Dad makes a difficult and tender subject more accessible to children with parents serving far from home.",7-9 tuổi
3740,Hip-pocket papa,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Hip-pocket-papa.jpg,16-2,003,Sandra Markle,Sách truyện thiếu nhi,7-9 tuổi,Charlesbridge,"Little papa, big job
 Sandra Markle and Alan Marks, creators of the Boston Globe/Horn Book Honor Award-winning A Mother's Journey, offer an up-close look at the miniature world of the hip-pocket frog.
 
 The male Australian hip-pocket frog, no bigger than an adult human's thumbnail, cares for his children as they grow from tadpoles to young froglets inside the pouches on his legs.",7-9 tuổi
3738,Hippo: river horse,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Hippo-river-horse.jpg,24-1,016,Natalie Lunis,Sách tham khảo,Động vật,Bearport Publishing,"Learn about the life of the African hippopotamus, or ""river horse"": where it lives, what it eats, and how it raises its young.",10-12 tuổi
3739,Hippo: river horse,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Hippo-river-horse.jpg,24-1,035,Natalie Lunis,Sách tham khảo,Động vật,Bearport Publishing,"Learn about the life of the African hippopotamus, or ""river horse"": where it lives, what it eats, and how it raises its young.",10-12 tuổi
3741,Hippos in the wild,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/hippos-in-the-wild.jpg,23-3,058,Jody Rake,Sách tham khảo,Động vật,Capstone,"Hippos may look cute, but keep your distance! These huge animals use their fast running speed and long canine teeth to defend their territories and their young. Find out why these beasts are Africa''s deadliest mammals.",10-12 tuổi
3742,Hippos in the wild,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/hippos-in-the-wild.jpg,23-6,039,Jody Rake,Sách tham khảo,Động vật,Capstone,"Hippos may look cute, but keep your distance! These huge animals use their fast running speed and long canine teeth to defend their territories and their young. Find out why these beasts are Africa''s deadliest mammals.",10-12 tuổi
3770,Home sweet burrow,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-sweet-burrow.jpg,24-1,068,Mary Elizabeth Salzmann,Sách tham khảo,Động vật,Abdo Publishing Company,Looks at what burrows are and gives several examples of animals that create and live in burrows.,10-12 tuổi
3772,Home sweet den,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-sweet-den.jpg,24-1,069,Mary Elizabeth Salzmann,Sách tham khảo,Động vật,Abdo Publishing Company,This informative title explores what a den is and the various types that are used or built by animals.,10-12 tuổi
3773,Home sweet nest,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-sweet-nest.jpg,24-1,062,Mary Elizabeth Salzmann,Sách tham khảo,Động vật,Abdo Publishing Company,"Learn what a nest is and the various types that are used or built by animals. Large photographs are used to show the different animals that dwell in nests like bald eagles, storks, termites, masked weavers, alligators and more.",10-12 tuổi
3774,Home sweet nest,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-sweet-nest.jpg,24-1,070,Mary Elizabeth Salzmann,Sách tham khảo,Động vật,Abdo Publishing Company,"Learn what a nest is and the various types that are used or built by animals. Large photographs are used to show the different animals that dwell in nests like bald eagles, storks, termites, masked weavers, alligators and more.",10-12 tuổi
3775,Home sweet tree,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-sweet-tree.jpg,23-2,024,Mary Elizabeth Salzmann,Sách tham khảo,Động vật,Abdo Publishing Company,"Introduces readers to animals that live in trees, including the koala, toucan, and howler monkey, and explains how they make these habitats their homes.",10-12 tuổi
3776,Home sweet tree,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-sweet-tree.jpg,23-2,054,Mary Elizabeth Salzmann,Sách tham khảo,Động vật,Abdo Publishing Company,"Introduces readers to animals that live in trees, including the koala, toucan, and howler monkey, and explains how they make these habitats their homes.",10-12 tuổi
3777,Home sweet web,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-sweet-web.jpg,24-1,066,Mary Elizabeth Salzmann,Sách tham khảo,Động vật,Abdo Publishing Company,"This informative title explores what a web is and the various types that are used or built by animals. Large photographs are used to show the different animals that dwell in webs like garden spiders, funnel-web wolf spiders, tent caterpillars, webworms and more. Each page spread has a simple sentence followed by facts about the animal. The title also includes a comprehension quiz and glossary",10-12 tuổi
3782,Home: welcome to Smekland,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-welcome-to-Smekland.jpg,18-3,062,Ellie O'Ryan,Sách truyện thiếu nhi,7-9 tuổi,Simon Spotlight,"Welcome to Smekland, formerly known as Earth. There have been lots of Boov improvements to the little blue “fixing-it-upper” planet. The Boov have rounded the points on the pyramids and introduced new-fangled inventions like gravity balls that can actually defy gravity. And the Boov are still figuring out what to do with some of the things the humans left behind like washing machines and nail salons. Discover all the hilarity that ensues when worlds collide in this 8 x 8 storybook that comes with a sheet of stickers featuring all your favorite characters from Home, like Oh, Captain Smek, Tip, Pig, and more!",7-9 tuổi
3783,Home: welcome to Smekland,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Home-welcome-to-Smekland.jpg,18-3,045,Ellie O'Ryan,Sách truyện thiếu nhi,7-9 tuổi,Simon Spotlight,"Welcome to Smekland, formerly known as Earth. There have been lots of Boov improvements to the little blue “fixing-it-upper” planet. The Boov have rounded the points on the pyramids and introduced new-fangled inventions like gravity balls that can actually defy gravity. And the Boov are still figuring out what to do with some of the things the humans left behind like washing machines and nail salons. Discover all the hilarity that ensues when worlds collide in this 8 x 8 storybook that comes with a sheet of stickers featuring all your favorite characters from Home, like Oh, Captain Smek, Tip, Pig, and more!",7-9 tuổi
3816,"Horned, spiked, and crested dinosaurs",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Horned-spiked-and-crested-dinosaurs.jpg,23-5,025,Carl Mehling,Sách tham khảo,Động vật,Skyview Books,"With the help of fossil evidence this book provides physical descriptions of twenty-nine dinosaurs with horns, spikes, or crests.",10-12 tuổi
2200,Horse,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Horse.jpg,23-4,032,Jean Coppendale,Sách tham khảo,Động vật,QED Publishing,"From guide dogs to police horses, hardworking animals faithfully help people with many different tasks everyday.
 
 This series looks at the jobs animals do, how they're trained, their skills and the special relationships that exist between humans and animals.",10-12 tuổi
3889,How a caterpillar grows into a butterfly,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/how-a-caterpillar-grows-into-a-butterfly.jpg,23-2,061,Tanya Kant,Sách tham khảo,Động vật,Children's Press,"""How a Caterpillar Grows into a Butterfly"" is an innovative new book exploring the amazing life-cycle of a butterfly, from egg to caterpillar to pupa and finally to adult butterfly. A mixture of innovative torn-paper illustrations and diagrams bring the subject to life. See-through pages, when held up to the light, reveal the transformation that happens inside a pupa. This book includes fact boxes, informative captions, questions and answers, a complete glossary and an index. Simple science projects make the book an interactive learning experience.",10-12 tuổi
3892,How animals communicate,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/how-animals-communicate.jpg,23-2,069,Betty Tatham,Sách tham khảo,Động vật,Children's Press,"Animals provides the reader with a fascinating look into the world of animals. The series covers a broad range of topics from groups of related animals, such as small wildcats and birds, to animal processes, such as migration and hibernation. Each book is filled with informative facts that can be used for reports or for animal lovers looking for more in-depth information. This book explores the different ways in which animals communicate, such as through physical gestures, sounds, and scents. Fish, birds, and mammals are among the types of animals discussed.",10-12 tuổi
3893,How animals defend themselves,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/how-animals-defend-themselves.jpg,23-6,048,Etta Kaner,Sách tham khảo,Động vật,Kids Can Press,"From color-changing octopi to opossums who ?play dead,? there is a lot to discover about the amazing world of animal defenses. Longer, more complex stories and sentences, more challenging vocabulary, language play and minimal repetition make this a Level 3 first reader.",10-12 tuổi
3894,How animals grow,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/how-animals-grow.jpg,23-5,057,Claire Llewellyn,Sách tham khảo,Động vật,Franklin Watts,I Know That! is a series developed to introduce non-fiction books to children in their first years at school. It gives young readers confidence by building on facts they already know and covers a variety of topics in a way that supports both learning and reading skills,10-12 tuổi
3897,How are they the same?,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-are-they-the-same.jpg,24-1,046,Bobbie Kalman,Sách tham khảo,Động vật,Crabtree Publishing Company,"Some animals have spots, some animals have stripes, and some plans are similar to animals!",10-12 tuổi
3918,How do baby animals learn?,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-do-baby-animals-learn.jpg,23-6,009,Bobbie Kalman,Sách tham khảo,Động vật,Crabtree Publishing Company,Baby animals must know how to stay alive. The most important things every baby needs to know is how to find food and how to avoid predators.,10-12 tuổi
3921,How do dinosaurs say happy birthday?,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-do-dinosaurs-say-happy-birthday.jpg,16-1,037,Jane Yolen,Sách truyện thiếu nhi,7-9 tuổi,Scholastic US,"Surprise! Our bestselling little dinosaurs are back for a BIG birthday celebration!
 
 
 
 Everyone has a birthday, and from riotous birthday parties to the excitement of being one year older, having a birthday is the highlight of a young child's year. All little dinosaurs love to get presents, and this new board book will be an immediate favorite. From birthday hats to Ceratosaurus-sized cakes, America's young readers will laugh out loud as the celebration moves from bad birthday behavior to just the right amount of silliness and sharing. Bestselling duo Jane Yolen and Mark Teague have created the perfect introduction to birthday parties, with the same beloved humor and warmth of all their previous bestselling How Do Dinosaurs books. Here's a wonderful way to say Happy Birthday! to any dinosaur...young or old!",7-9 tuổi
3922,How do dinosaurs say happy birthday?,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-do-dinosaurs-say-happy-birthday.jpg,16-1,036,Jane Yolen,Sách truyện thiếu nhi,7-9 tuổi,Scholastic US,"Surprise! Our bestselling little dinosaurs are back for a BIG birthday celebration!
 
 
 
 Everyone has a birthday, and from riotous birthday parties to the excitement of being one year older, having a birthday is the highlight of a young child's year. All little dinosaurs love to get presents, and this new board book will be an immediate favorite. From birthday hats to Ceratosaurus-sized cakes, America's young readers will laugh out loud as the celebration moves from bad birthday behavior to just the right amount of silliness and sharing. Bestselling duo Jane Yolen and Mark Teague have created the perfect introduction to birthday parties, with the same beloved humor and warmth of all their previous bestselling How Do Dinosaurs books. Here's a wonderful way to say Happy Birthday! to any dinosaur...young or old!",7-9 tuổi
3930,How do tadpoles become frogs?,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-do-tadpoles-become-frogs.jpg,24-1,049,Darice Bailer,Sách tham khảo,Động vật,Benchmark Books,Provides comprehensive information on the process of tadpoles changing into frogs.,10-12 tuổi
3932,How do we live together: coyotes,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-do-we-live-together-coyotes.jpg,23-5,065,Katie Marsico,Sách tham khảo,Động vật,Cherry Lake Publishing,"How Do We Live Together: Coyotes, opens young eyes to the bustling world around them and gently encourages early learning. Boys and girls will see how coyotes care for their young, and find out where they live, what they eat and how they behave. Readers are encouraged to think critically about how we share our backyards with these wonderful animals.",10-12 tuổi
3933,How do we live together: deer,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-do-we-live-together-deer.jpg,24-1,015,Lucia Raatma,Sách tham khảo,Động vật,Cherry Lake Publishing,"How Do We Live Together: Deer, opens young eyes to the bustling world around them and gently encourages early learning. Boys and girls will see how deer care for their young, and find out where they live, what they eat and how they behave. Readers are encouraged to think critically about how we share our backyards with these wonderful animals.",10-12 tuổi
3934,How do we live together: hawks,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-do-we-live-together-hawks.jpg,23-5,086,Katie Marsico,Sách tham khảo,Động vật,Cherry Lake Publishing,"How Do We Live Together: Hawks, opens young eyes to the bustling world around them and gently encourages early learning. Boys and girls will see how hawks care for their young, and find out where they live, what they eat and how they behave. Readers are encouraged to think critically about how we share our backyards with these wonderful birds.",10-12 tuổi
3949,How does it grow: frog,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-does-it-grow-frog.jpg,24-1,002,Jinny Johnson,Sách tham khảo,Động vật,Smart Apple Media,"Presents an introduction to the life cycle of a frog, from its beginning as an egg, to its life as a tadpole, to its maturity as an adult frog.",10-12 tuổi
3962,How many baby pandas?,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/How-many-baby-pandas.jpg,23-4,030,Sandra Markle,Sách tham khảo,Động vật,Walker Childrens,"Science expert Sandra Markle bumps up the cuteness factor in this adorable photo essay featuring the eight panda pairs that were born during a baby boom at China's Wolong Giant Panda Breeding and Research Center in 2005. Basic counting skills combine with panda facts to introduce readers to numbers and these cuddly cubs, from the moment they were born to the time they started climbing trees. Tracked as they play and grow in captivity, until they are strong enough to be released into the wild, these baby pandas will steal any reader's heart, whether it's one at a time or sixteen at once!",10-12 tuổi
3995,How to clean a hippopotamus,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/how-to-clean-a-hippopotamus.jpg,23-3,075,Steve Jenkins,Sách tham khảo,Động vật,HMH Books for Young Readers,"How to Clean a Hippopotamus, a book about animal symbiosis, offers readers a close-up, step-by-step view of nature’s fascinating partnerships. Find out why a mongoose comes running when a warthog lies down, how a crab and an iguana help each other out, why ravens follow wolves, and more. Witness the ingenious lifestyles of some of the world’s most unusual animal partners in this book of curious biology, a symbiotic collaboration by Steve Jenkins and Robin Page.",10-12 tuổi
3996,How to clean a hippopotamus,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/how-to-clean-a-hippopotamus.jpg,23-3,074,Steve Jenkins,Sách tham khảo,Động vật,HMH Books for Young Readers,"How to Clean a Hippopotamus, a book about animal symbiosis, offers readers a close-up, step-by-step view of nature’s fascinating partnerships. Find out why a mongoose comes running when a warthog lies down, how a crab and an iguana help each other out, why ravens follow wolves, and more. Witness the ingenious lifestyles of some of the world’s most unusual animal partners in this book of curious biology, a symbiotic collaboration by Steve Jenkins and Robin Page.",10-12 tuổi
4091,Hyena,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Hyena.jpg,24-1,010,Louise Spilsbury,Sách tham khảo,Động vật,Heinemann Educational Books,"Offering fascinating insight into life in the grassland, this book follows a hyena through its day as it sleeps, eats, and moves.",10-12 tuổi
4097,I am a giant panda,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/I-am-a-giant-panda.jpg,23-5,056,Steve Macleod,Sách tham khảo,Động vật,Av2 by Weigl,Young readers learn basic facts about giant pandas.,10-12 tuổi
4098,I am a giant panda,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/I-am-a-giant-panda.jpg,23-3,039,Steve Macleod,Sách tham khảo,Động vật,Av2 by Weigl,Young readers learn basic facts about giant pandas.,10-12 tuổi
4100,I am an elephant,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/i-am-an-elephant.jpg,24-1,044,Aaron Carr,Sách tham khảo,Động vật,Av2 by Weigl,"Elephants are the biggest animals that live on land. The biggest elephant on record was 13 feet (4 meters) tall and weighed more than 25,000 pounds (11,400 kilograms).These astounding facts about this fascinating animal can be discovered in the I Am an Elephant book.",10-12 tuổi
4161,I like collies,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/I-like-collies.jpg,23-3,079,Linda Bozzo,Sách tham khảo,Động vật,Enslow Elementary,"Collies are friendly and smart dogs that make great pets. Some have short hair. Some have long hair. But they all need love. Learn how to care for your collie. Read about grooming, feeding, vet checkups, and more.",10-12 tuổi
4162,I like German shepherds,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/I-like-German-shepherds.jpg,24-2,050,Linda Bozzo,Sách tham khảo,Động vật,Enslow Elementary,"German shepherds are brave and smart. They make good guard dogs and police dogs. They love to work and play. Learn how to care for your German shepherd. Read about grooming, feeding, vet checkups, and more.",10-12 tuổi
4252,Ian's new potty,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Ian_s-new-potty.jpg,9-4,028,Pauline Oud,Sách truyện thiếu nhi,7-9 tuổi,Clavis,Ian's mom buys him new 'big boy' underpants and a new red potty. Soon Ian begins to practice using the potty and identifies the 'feeling' when he needs to pee.,7-9 tuổi
4255,Ice age giants,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/ice-age-giants.jpg,23-6,063,Steve Parker,Sách tham khảo,Động vật,QEB Publishing,Discover the amazing prehistoric creatures that roamed our planet before and during the age of the dinosaurs. Are you ready to take a walk on the wild side?,10-12 tuổi
4347,"In the trees, honey bees",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/In-the-trees-honey-bees.jpg,23-2,058,Lori Mortensen,Sách tham khảo,Động vật,Dawn Publications,"Here is the ideal introduction for preschoolers and early elementary children to insects that are not only amazing but also critically important to humans. Inside-the-hive views of a wild colony of honey bees offer close-ups of the queen, the cells, even bee eggs. Simple verse will engage a young child, while sidebars with fascinating information satisfy the somewhat older child. Parents, teachers, and interested children will enjoy much more information about both wild and domestic hives in the back of the book. The detailed art shimmers with life, highlighting each hair or grain of pollen on the bees. A wild hive in a tree in her own backyard served as a model for the artist!",10-12 tuổi
4351,Incredible ants,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/incredible-ants.jpg,24-1,077,Susan Ashley,Sách tham khảo,Động vật,Gareth Stevens Publishing,"Presents an introduction to ants, discussing their physical characteristics, communication abilities, and behavior as members of a colony.",10-12 tuổi
4352,Incredible bees,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Incredible-bees.jpg,23-5,067,Susan Ashley,Sách tham khảo,Động vật,Gareth Stevens Publishing,"Examines bees, including the hives that they live in, how they develop, their body parts, and how they find food.",10-12 tuổi
4355,Incredible fireflies,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Incredible-fireflies.jpg,24-1,076,Susan Ashley,Sách tham khảo,Động vật,Gareth Stevens Publishing,"Fireflies light up the nighttime sky, but there is so much more to them than just what we see in our backyards after sunset. Students will learn about the life of this insect that isnt actually a fly at all. From their start as glowworms to the reason why they are able to shine, readers will discover many fascinating facts about fireflies. Eye-catching photographs allow readers to see this insect at every stage of its life.",10-12 tuổi
4356,Incredible grasshoppers,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Incredible-grasshoppers.jpg,23-5,068,Susan Ashley,Sách tham khảo,Động vật,Gareth Stevens Publishing,Did you know that grasshoppers can sing? This amazing fact and many more can be found in this informative book. Readers will explore the world of these insects that can jump over 20 times their length and hide in the grass for protection from their enemies. Detailed photographs show the different parts of grasshoppers bodies and different stages in their life cycles.,10-12 tuổi
4359,Incredible ladybugs,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Incredible-ladybugs.jpg,24-1,097,Susan Ashley,Sách tham khảo,Động vật,Gareth Stevens Publishing,"Ladybugs are some of the most popular bugs in the world because they eat pests and are used to help people like farmers and gardeners. Readers will discover many important things about these spotted insects—what they eat, how they grow, and even what they do in the winter. Vibrant photographs let readers see these friendly-looking insects in incredible detail.",10-12 tuổi
4395,Interesting invertebrates,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/interesting-invertebrates.JPG,23-1,013,Heidi Moore,Sách tham khảo,Động vật,Raintree,There are many amazing deep-sea invertebrates. Invertebrates are animals that do not have a backbone. Humans have a backbone. Worms do not. Worms are a type of invertebrate. Many of the strangest marine invertebrates live near hydrothermal vents. Life in this habitat leads to interesting adaptations.,10-12 tuổi
