S/N,Title,Images,Shelflist,Position,Author ,Category,SubCategory,Publisher,Datepublished,Description,Tags
1533,Cells,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Cells.jpg,27-4,057,Darlene Stille,Sách tham khảo,Phát minh,Gareth Stevens Publishing,2007,"Key features:
- Topics correlated to the middle school science curriculum
- Text developed in consultation with a science curriculum consultant
- Clear explanations of key scientific concepts
- A wealth of diagrams and other detailed illustrations that aid understanding
- A glossary of key scientific terms
Special Features:
- Diagrams
- Focus boxes
- Glossary and Index
- Sources of further information",10-12 tuổi
1672,Circuits and conductors,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Circuits-and-conductors.jpg,25-5,013,Peter Riley,Sách tham khảo,Mọi thứ vận hành ra sao,Franklin Watts,2011,How does electricity flow? What is an insulator? How do batteries work? This book answers all this and more through a stimulating combination of facts and practical investigation.,10-12 tuổi
1673,Circuits and conductors,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Circuits-and-conductors.jpg,25-5,012,Peter Riley,Sách tham khảo,Mọi thứ vận hành ra sao,Franklin Watts,2011,How does electricity flow? What is an insulator? How do batteries work? This book answers all this and more through a stimulating combination of facts and practical investigation.,10-12 tuổi
1680,City machines: asphalt pavers,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/City-machines-asphalt-pavers.jpg,27-4,089,Connor Dayton,Sách tham khảo,Phát minh,PowerKids Press,2011,"Asphalt pavers are used to lay and smooth asphalt on roads, keeping them level and safe for drivers. Straightforward text explains to young readers the components of these machines and the tasks they perform.",10-12 tuổi
1681,City machines: jackhammers,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/City-machines-jackhammers.jpg,25-5,087,Connor Dayton,Sách tham khảo,Mọi thứ vận hành ra sao,PowerKids Press,2011,"Introduces the jackhammer, discussing the parts of the machine and its purpose.",10-12 tuổi
1747,Codes and codebreaking,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Codes-and-codebreaking.jpg,27-4,006,Andrew Langley,Sách tham khảo,Phát minh,Smart Apple Media,2009,Discusses how codes work and describes how they have been used throughout history to send secret information and how they have been broken.,10-12 tuổi
1761,Colour create: animals,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Colour-create-animals.jpg,24-4,020,Nahta Noj,Sách học và hoạt động,Hoạt động (0-6 tuổi),Templar Publishing,2012,"ColourCreate your own zany animals with this innovative activity book. Get started with a how-to section that's bursting with ideas and tricks of the trade, then use the pull-out activity cards and brightly coloured stickers to make your own wacky animals from scratch. When your artwork is complete, use the 3-D glasses to see it spring to life. There are hours of fun to be had with this comprehensive pack.",0-6 tuổi
1778,Community maps,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/community-maps.jpg,25-5,034,Nicolas Brasch,Sách tham khảo,Mọi thứ vận hành ra sao,Smart Apple Media,2012,Gives information on types and features of community maps. Includes quizzes and a mapmaking activity,10-12 tuổi
1834,Cool jobs for young entertainers,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Cool-jobs-for-young-entertainers.jpg,24-6,045,Pam Scheunemann,Sách học và hoạt động,Hoạt động (7-9 tuổi),Checkerboard Books,2010,"Kids want to make money! This fun and creative title introduces young readers to the idea of working in a format that is easy to read and use. From carnivals to haunted houses, this book contains kid-tested projects that will have children earning money--and loving it! Instructions and photographs guide kids through the process of business plans, safety, marketing, gathering customer information, and providing a product or service. Background information, materials lists, and additional ideas provide a fun and organized approach to the world of work!",7-9 tuổi
1840,Cool sports parties,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Cool-sports-parties.jpg,24-6,046,Karen Kenney,Sách học và hoạt động,Hoạt động (7-9 tuổi),Abdo Publishing Company,2011,"Provides ideas and advice on planning a sports party, covering the basics of party planning, and discussing decorations, invitations, favors, menus, and activities.",7-9 tuổi
1959,Crystals,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Crystals.jpg,27-4,045,Richard Spilsbury,Sách tham khảo,Phát minh,PowerKids Press,2015,"The rocks that cover Earths surface wouldn't exist without crystals. Written to support the science national curriculum, this text encourages readers to get up close and personal with the crystals contained in rocks.

Along the way, they'll learn important Earth science skills, such as how crystals form, how to identify crystals based on their physical properties, and where in the world they're found.

The text also teaches readers how we use crystals in everyday life, and what kinds of hobbies and careers involve working with crystals. This information-rich text features engaging images, fact boxes, and sidebars, which offer opportunities for additional learning.",10-12 tuổi
1961,Cultivators,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/cultivators.jpg,27-3L,047,Connor Dayton,Sách tham khảo,Phát minh,PowerKids Press,2011,"Between planting and harvesting the fields must be cultivated to keep the ground fertile and ready to produce delicious crops. Cultivators are the invaluable machines that mix the soil and keep weeds at bay. Vivid photographs show cultivators working the fields, while accessible text builds vocabulary while explaining the role of cultivators in agriculture.",10-12 tuổi
2117,Destroy after reading: world of secret codes,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Destroy-after-reading-world-of-secret-codes.jpg,27-3L,024,Mary Colson,Sách tham khảo,Phát minh,Raintree,2010,This book discusses secret codes and how they have been used around the world throughout history.,10-12 tuổi
2202,DNA,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/DNA.jpg,27-4,010,Natalie Hyde,Sách tham khảo,Phát minh,Crabtree Publishing Company,2009,"All life starts with a set of instructions that can turn basic cells into hearts, tails, flower petals, or toenails. DNA is the amazing code of life that is found in every organism. Through colorful photos, diagrams, and text, you can learn how DNA is passed from cell to cell, controlling growth and change in all living things. Find out how we can use the properties of DNA to save endangered animals and even to catch criminals!",10-12 tuổi
2217,Does it bend: all about stretchy materials,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Does-it-bend-all-about-stretchy-materials.jpg,25-5,017,Anna Claybourne,Sách tham khảo,Mọi thứ vận hành ra sao,Franklin Watts,2009,"Featuring simple experiments, this book explores the properties and uses of materials.",10-12 tuổi
2218,Does it really take seven years to digest swallowed gum?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Does-it-really-take-seven-years-to-digest-swallowed-gum.jpg,26-2L,012,Sandy Donovan,Sách tham khảo,Hiểu biết chung,Lerner Publications,2010,"It takes seven years to digest swallowed gum. A penny placed on a train track can cause a train to derail. The average human consumes four spiders per year while sleeping. You may have heard some of these common sayings or beliefs before. But are they really true? Can they be proven using science? Let’s investigate seventeen statements about familiar items and everyday events and find out which ones are right, which ones are wrong, and which ones still stump scientists! Find out whether eggs will really stand on their ends during the vernal equinox! Discover whether it’s true that you can swing 360 degrees on a swing set! See if you can tell the difference between fact and fiction with Is That a Fact?",10-12 tuổi
2219,Does it soak up water?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Does-it-soak-up-water.jpg,26-4L,015,Angela Royston,Sách tham khảo,Mọi thứ vận hành ra sao,Franklin Watts,2009,Explores the properties and uses of materials and features simple experiments,10-12 tuổi
2277,Doodle jump,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/doodle-jump.jpg,24-6,025,Egmont,Sách học và hoạt động,Hoạt động (7-9 tuổi),Egmont UK,2015,"Journey up the sheets of graph paper, jumping from one platform to the next, picking up jet packs, avoiding black holes, and blasting bad guys with nose balls along the way. With exclusive info, mazes, stickers, logic puzzles, fun doodle activities, and cool things to make, this book is what doodle jump fans have been waiting for! ",7-9 tuổi
2386,Dump trucks,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/dump-trucks.jpg,27-3L,025,Linda Williams,Sách tham khảo,Phát minh,Capstone Press,2004,Text and photographs introduce dump trucks including dump truck parts such as beds and big tires.,10-12 tuổi
2397,Earth science fair projects,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/earth-science-fair-projects.jpg,24-5,006,Jordan McGill,Sách học và hoạt động,Hoạt động (7-9 tuổi),"AV2 Weigl Publishers, Inc.",2012,"From growing crystals to erupting a model volcano, Earth Science features fun earth science experiments that can be used to create an exceptional science fair project.",7-9 tuổi
2542,Energy,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Energy.jpg,24-5,002,Chris Oxlade,Sách học và hoạt động,Hoạt động (7-9 tuổi),MMS Gold,2010,"The New Technology series is an exciting, up-to-date look at new technology and the effect it is having on the world. Each title looks forward to likely future technological advances that will affect our everyday lives. Today we are facing an energy crisis. We depend on machines, but the fuels they run on are poisoning our planet. As they run out, the cost of those fuels will also increase. But what fuels will we be using in the future? Will renewable sources of power really be able to replace fossil fuels? Will a solar satellite really be able to beam power down to Earth? Will we really develop a clean form of nuclear power? With developments in energy technology, ideas that sound like science fiction today could become reality tomorrow.",7-9 tuổi
2544,Energy in action: everyday technology,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Energy-in-action-everyday-technology.jpg,25-4,010,Pennie Stoyles,Sách tham khảo,Mọi thứ vận hành ra sao,Cavendish Square Publishing,2011,"Introduces readers to the many different types of energy used in everyday technology, including light, sound, heat, and electrical energies",10-12 tuổi
2623,Experiments with a ruler,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Experiments-with-a-ruler.jpg,24-5,021,Angela Royston,Sách học và hoạt động,Hoạt động (7-9 tuổi),Franklin Watts,2011,"In this book about rulers you can:
Find out about forces, levers, friction and air pressure
Discover how quickly you react
Make a catapult and much more!

The One-Stop Science series is bursting with ideas for real experiments using everyday objects and materials.",7-9 tuổi
2624,Experiments with a ruler,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Experiments-with-a-ruler.jpg,24-5,022,Angela Royston,Sách học và hoạt động,Hoạt động (7-9 tuổi),Franklin Watts,2011,"In this book about rulers you can:
Find out about forces, levers, friction and air pressure
Discover how quickly you react
Make a catapult and much more!

The One-Stop Science series is bursting with ideas for real experiments using everyday objects and materials.",7-9 tuổi
2625,Experiments with electricity,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Experiments-with-electricity-and-magnetism.jpg,24-5,023,Salvatore Tocci,Sách học và hoạt động,Hoạt động (7-9 tuổi),Children's Press,2008,"Completely redesigned for today's young investigative reader, True Books are an indispensable addition to any collection. Each book guides readers through the facts that nurture their need to know.",7-9 tuổi
2626,Experiments with electricity and magnetism,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/experiments-with-electricity.jpg,24-5,024,Chris Woodford,Sách học và hoạt động,Hoạt động (7-9 tuổi),Gareth Stevens Publishing,2010,"Key features:
- Experiments with easy to follow step-by-step instructions
- Trouble-shooting and safety tips make for mistake-proof learning
- What You Will Need boxes
- Rated by difficulty
- Age appropriate and achievable
- List of goals
- Excellent for practice in procedural and instructional literacy",7-9 tuổi
2627,Experiments with force and motion,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/experiments-with-force-and-motion.jpg,25-4,034,Colin Uttley,Sách tham khảo,Mọi thứ vận hành ra sao,Gareth Stevens Pub Learning library,2010,"Presents experiments with easy-to-follow instructions that demonstrate the properties of force and motion, including making a lever, measuring elasticity, and observing water density.",10-12 tuổi
2629,Experiments with heat,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/experiments-with-heat.jpg,24-5,025,Trevor Cook,Sách học và hoạt động,Hoạt động (7-9 tuổi),PowerKids Press,2009,Kids will learn all about heat through these fun and easy-to-follow experiments.,7-9 tuổi
2630,Experiments with light and sound,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Experiments-with-light-and-sound.jpg,26-4L,014,Trevor Cook,Sách tham khảo,Mọi thứ vận hành ra sao,PowerKids Press,2009,"Presents over ten experiments demonstrating the properties of light and sound, and explains how these properties work in action.",10-12 tuổi
2631,Experiments with light and sound,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Experiments-with-light-and-sound.jpg,26-4L,013,Trevor Cook,Sách tham khảo,Mọi thứ vận hành ra sao,PowerKids Press,2009,"Presents over ten experiments demonstrating the properties of light and sound, and explains how these properties work in action.",10-12 tuổi
2632,Experiments with light and sound,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Experiments-with-light-and-sound.jpg,26-4L,012,Trevor Cook,Sách tham khảo,Mọi thứ vận hành ra sao,PowerKids Press,2009,"Presents over ten experiments demonstrating the properties of light and sound, and explains how these properties work in action.",10-12 tuổi
2645,Exploring space: rockets,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Exploring-space-rockets.jpg,27-4,029,David Baker,Sách tham khảo,Phát minh,Weigl,2017,This series examines the history and science of space exploration. It also delves into the careers and technological advancements associated with this exciting field of study.,10-12 tuổi
2658,Extreme lights out,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Extreme-lights-out.jpg,25-4,076,Sean Callery,Sách tham khảo,Mọi thứ vận hành ra sao,A&C Black,2010,"Lights Out! tells the astonishing story of survival in the world's harshest habitat - the Arctic's icy lands and frozen seas. See how polar bears, musk oxen and walruses cope with the intense cold, how people live there too and why their world may be doomed 

Extreme! is an action-packed series that brings together incredible tales and secret facts about the most radical things you really want to know - such as how to avoid a shark attack to surviving a snowstorm, or spotting the world's most poisonous snake! Discover the fascinating stories behind how things work and why they happen.",10-12 tuổi
2663,Eye know: light,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Eye-know-light.jpg,25-4,078,DK,Sách tham khảo,Mọi thứ vận hành ra sao,DK Children,2006,"Introduces the concept of light, covering what light is, sunlight, shadows, good and bad light, how our eyes take in light, light sources of the past, electric light, religious festivals involving light, and everyday light.",10-12 tuổi
2727,Fantastic vehicles: emergency rescue,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Fantastic-vehicles-emergency-rescue.jpg,27-4,050,Frances Ridley,Sách tham khảo,Phát minh, Ticktock Entertainment Ltd,2007,Are you mad about machines? Then step into the driving seat for some full-throttle fun! This book gives you fantastic facts about ten of the most incredible rescue vehicles in the world.,10-12 tuổi
2749,Farm machines,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/farm-machines.jpg,27-4,086,Nancy Dickmann,Sách tham khảo,Phát minh,Heinemann Educational Books,2010,"From simple to complex, small to large, this book introduces children to machines, such as hoes, threshers, and tractors, that are found on farms around the world.",10-12 tuổi
2765,Fashion fairy princess: jewel forest sticker book,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Fashion-fairy-princess-jewel-forest-sticker-book.jpg,24-6,016,Poppy Collins,Sách học và hoạt động,Hoạt động (7-9 tuổi),Scholastic,2018,"Meet the fashion fairy princesses – Violet, Bluebell, Buttercup and Rosa – in an exciting new range of fiction and sticker books. Travel into dream mountain for hours of sticker-dressing and fashion fun! Celebrate the crowning of the Dream Queen, dress up the fairy-princesses, pick a coronation dress, find the magical flowers and much, much more. Includes over 500 hundred reusable colour stickers to dress up the fairies and use throughout the book.",7-9 tuổi
2957,Forces and how they move things,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Forces-and-how-they-move-things.jpg,25-5,011,Peter Riley,Sách tham khảo,Mọi thứ vận hành ra sao,Franklin Watts,2012,"So you want to be a scientist This book is bursting with ideas, investigations and controlled tests- all using everyday objects.",10-12 tuổi
3053,From locusts to automobile anti-collision systems,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/From-locusts-to-automobile-anti-collision-systems.jpg,27-3L,015,Wil Mara,Sách tham khảo,Phát minh,Cherry Lake Publishing,2013,Learn how scientists were inspired by locusts to create advanced anti-collision systems for automobiles.,10-12 tuổi
3059,From woodpeckers to helmets,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/From-woodpeckers-to-helmets.jpg,27-4,044,Josh Gregory,Sách tham khảo,Phát minh,Cherry Lake Publishing,2012,"From airplanes to football helmets, some of the greatest inventions of all time have been based on the natural abilities of plants and animals. Readers will learn how some of history's most imaginative inventors were inspired by nature and how their incredible creations continue to improve our lives today. Available in reinforced library and paperback bindings.",10-12 tuổi
3122,Gems: nature's jewels: turquoise,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Gems-nature_s-jewels-turquoise.jpg,27-4,064,Eric Ethan,Sách tham khảo,Phát minh,Gareth Stevens Publishing,2011,Learn facts about one of the only gems to be mined in North America.,10-12 tuổi
3235,Give probability a chance,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Give-probability-a-chance.jpg,25-5,021,Thomas Adamson,Sách tham khảo,Mọi thứ vận hành ra sao,Capstone Press,2012,Likely or unlikely? Possible or impossible? Probability is how likely something is. Will it be rainy or sunny for the party? Where will the spinner land? Read and find out!,10-12 tuổi
3242,Go easy on energy,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/go-easy-on-energy.jpg,25-5,033,Lisa Bullard,Sách tham khảo,Mọi thứ vận hành ra sao,Millbrook Press,2011,"We use electricity and other types of energy every day. But did you know that some kinds of energy can make Earth dirty? Join Tyler to learn how we can use energy wisely. Do your part to be a planet protector! Discover how to reduce, reuse, recycle, and more with Tyler and Trina in the Planet Protectors series, part of the Cloverleaf Books(TM) collection. These nonfiction picture books feature kid-friendly text and illustrations to make learning fun!",10-12 tuổi
3341,GPS,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/GPS.jpg,27-3L,016,G. S. Prentzas,Sách tham khảo,Phát minh,Cherry Lake Publishing,2009,"This book takes a product students are interested in, GPS, and provides them with details on how the product is created in the global market place of the 21st century.",10-12 tuổi
3342,GPS and computer maps,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/GPS-and-computer-maps.jpg,27-4,073,Julia Quinlan,Sách tham khảo,Phát minh,PowerKids Press,2012,"In the high-tech world of today, many of the maps we encounter are GPS maps or computer maps. This informative volume explains how the GPS, or Global Positioning System, works. It discusses how and why the system was developed and how various devices use it. It also covers online map systems, such as Google Maps and MapQuest. The book deals with zooming in and out on such maps. It even explores the advantages and disadvantages of computer and GPS maps in comparison to paper maps.",10-12 tuổi
3392,Graphing with pets,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Graphing-with-pets.jpg,25-5,045,Harry James,Sách tham khảo,Mọi thứ vận hành ra sao,Capstone Press,2011,"Math skills to the 5th degree! Kid friendly, real life situations put math into perspective. Each title uses fun examples to show how much we use math every day! Graphic organizers and problem solving activities aid readers in understanding each concept.",10-12 tuổi
3828,Horrible science annual 2016,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Horrible-science-annual-2016.jpg,24-6,033,Nick Arnold,Sách học và hoạt động,Hoạt động (7-9 tuổi),Scholastic Non-Fiction,2015,"The Horrible Science Annual 2015 is crammed full of suffering scientists, amazing activities, explosive experiments and slimy games. Learn all the mind-blowing facts about bloody biology, frightful physics, chaotic chemistry from the award-winning series. It's the annual with the squishy bits left in!",7-9 tuổi
3888,Hovercraft,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/hovercraft.jpg,27-4,070,Sarah Tieck,Sách tham khảo,Phát minh,Big Buddy Books,2011,"Looks at hovercraft, examining how they work, the parts they have, how they are used, and some of their history.",10-12 tuổi
3909,How did that get to my house: music,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-did-that-get-to-my-house-music.jpg,25-5,065,Ellen Labrecque,Sách tham khảo,Mọi thứ vận hành ra sao,Cherry Lake Publishing,2009,"Learn about how music reaches your home, from recording, to storage to transmissions.",10-12 tuổi
3910,How did that get to my house: natural gas,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-did-that-get-to-my-house-natural-gas.jpg,25-5,067,Nancy Masters,Sách tham khảo,Mọi thứ vận hành ra sao,Cherry Lake Publishing,2009,Describes how the natural gas that is used to cook and heat your home is discovered and transported into your home.,10-12 tuổi
3911,How did that get to my house: telephone,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-did-that-get-to-my-house-telephone.jpg,27-4,075,Nancy Masters,Sách tham khảo,Phát minh,Cherry Lake Publishing,2009,Learn about how the telephone works and the history behind the technology.,10-12 tuổi
3912,How did that get to my house: telephone,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-did-that-get-to-my-house-telephone.jpg,27-4,071,Nancy Masters,Sách tham khảo,Phát minh,Cherry Lake Publishing,2009,Learn about how the telephone works and the history behind the technology.,10-12 tuổi
3913,How did that get to my table: ketchup,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-did-that-get-to-my-table-ketchup.jpg,25-4,074,Emily Dolbear,Sách tham khảo,Mọi thứ vận hành ra sao,Cherry Lake Publishing,2009,"With this title, young readers will gain an understanding on how the ketchup they love, is made and how it ends up on their table.",10-12 tuổi
3919,How do cell phones work?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-do-cell-phones-work.jpg,27-3L,021,Richard Hantula,Sách tham khảo,Phát minh,Chelsea Clubhouse,2009,"Cell phones have changed the way people live, work, and communicate with each other. Since the first handheld phone was created in 1973, cell phones have only increased in popularity. This title delves into the science behind cell phones and the reasons for their popularity, from their portability to unique features, with full-color photographs.",10-12 tuổi
3944,How does a helicopter work?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-Does-a-Helicopter-Work.jpg,27-3L,009,Sarah Eason,Sách tham khảo,Phát minh,Gareth Stevens Publishing,2010,"This book looks at the aerodynamics of helicopters and some of the latest models, and is fully loaded with fun features such as sidebars, fact boxes, and cool cutaways.",10-12 tuổi
3945,How does a jet plane work?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-does-a-jet-plane-work.jpg,27-4,033,Sarah Eason,Sách tham khảo,Phát minh,Gareth Stevens Publishing,2010,"Extremely detailed diagrams with labeling that explains each part's function
- ""Fast Facts"" and ""Fun Fact"" boxes offer additional information on the machine
- ""That's amazing!"" boxes present astounding facts
- ""Try for Yourself"" problem-solving sidebars
- Incredible cutaways provide unique perspectives into the inner workings of each device",10-12 tuổi
3946,How does a waterfall become electricity?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-does-a-waterfall-become-electricity.jpg,25-5,020,Mike Graf,Sách tham khảo,Mọi thứ vận hành ra sao,Raintree,2009,"What is the world's tallest waterfall? How do dams help generate water power? What happens when a waterwheel spins? This series explores the causes and effects that shape our world. From the underwater volcanoes that sprout into islands, to the rushing waterfalls that spark electric currents, this series demonstrates how both natural and man-made phenomena occur.",10-12 tuổi
3947,How does it fly: glider,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-does-it-fly-glider.jpg,25-5,066,Nancy Robinson,Sách tham khảo,Mọi thứ vận hành ra sao,Cherry Lake Publishing,2013,Find out how these interesting vehicles can fly without engines.,10-12 tuổi
3948,How does it fly: propeller plane,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-does-it-fly-propeller-plane.jpg,27-4,077,Nancy Masters,Sách tham khảo,Phát minh,Cherry Lake Publishing,2013,The earliest airplanes all used propellers to fly. Find out how these planes work and how they were used.,10-12 tuổi
3951,How far away: comparing trips,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-far-away-comparing-trips.jpg,25-4,083,Jennifer Marrewa,Sách tham khảo,Mọi thứ vận hành ra sao,Weekly Reader Early Learning Library,2008,"This series covers the range of math concepts and skills that students are expected to master during second grade. The series moves sequentially through the math curriculum, using practical examples to show how people use math every day in the real world. Each book is leveled to match students' reading skills as they progress through second grade.",10-12 tuổi
4019,How to make a mystery smell balloon,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-to-make-a-mystery-smell-balloon.jpg,24-5,041,Lori Shores,Sách học và hoạt động,Hoạt động (7-9 tuổi),Capstone Press,2010,Simple text and full-color photos instruct readers how to make a mystery smell balloon and explain the science behind the activity,7-9 tuổi
