S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
1000,Beastologist: the basilisk's lair,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Beastologist-the-basilisk_s-lair.jpg,33-3,063,R. L. LaFevers,Sách truyện người lớn,Tưởng tượng,Clarion Books,"Nate Fludd is back in the camel saddle in pursuit of a missing, deadly basilisk - the mythical King of Serpents. As if saving a Dhughani village from the beast isn’t hard enough, Nate and Aunt Phil must begin to solve the Bí ẩn of his parents’ disappearance and protect The Fludd Book of Beasts from a sinister man who always seems to be one step ahead of them.
With more lively illustrations by Kelly Murphy, The Basilisk’s Lair picks up immediately where the first book in the series, Flight of the Phoenix, left off. This historical Tưởng tượng chapter book series is perfect for intermediate readers.",Từ 13 tuổi trở lên
1181,Bitterblue,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Bitterblue.jpg,34-2,069,Kristin Cashore,Sách truyện người lớn,Tưởng tượng,"Penguin Books
","When Queen Bitterblue took the throne of Monsea, she was a child, and her advisers ran the kingdom for her. Now she is beginning to question their decisions, especially how they handle the legacy of her father Leck, who who ruled through his Grace - a special talent for mind-altering - and his taste for darkness and violence. Bitterblue needs to know Monsea’s past to lead it into the future, so she begins exploring the city sreets at night, disguised and alone. As she does, she meets two thieves, who hold a key to the truth of Leck's reign. And one of them, with a Grace that he hasn't yet identified, holds a key to her heart.",Từ 13 tuổi trở lên
1183,Black and blue,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Black-and-blue.jpg,33-2,001,James Patterson,Sách truyện người lớn,Tưởng tượng,BookShots,"A beautiful young woman is found murdered on a river bank, and Detective Harriet Blue is convinced she's the next victim of the worst serial killer Sydney has seen in decades.
But the more Harriet learns, the more she realises this murder is not what she first thought. And her own life might be tangled up in the case.",Từ 13 tuổi trở lên
1206,Blizzard of the blue moon,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Blizzard-of-the-blue-moon.jpg,34-4,083,Mary Pope Osborne,Sách truyện người lớn,Tưởng tượng,Random House Books for Young Readers,"Jack and Annie must rescue a beautiful magical creature - the unicorn. But when they land in New York City during the Depression of the 1930s, Jack and Annie are confused. Where will they find a unicorn in a big city?",Từ 13 tuổi trở lên
1215,Blubber,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Blubber.jpg,34-2,023,Judy Blume,Sách truyện người lớn,Tưởng tượng,Yearling,"Blubber is a good name for her, the note from Wendy says about Linda. Jill crumples it up and leaves it on the corner of her desk. She doesn't want to think about Linda or her dumb report on the whale just now. Jill wants to think about Halloween.
But Robby grabs the note, and before Linda stops talking it has gone halfway around the room.
That's where it all starts. There's something about Linda that makes a lot of kids in her fifth-grade class want to see how far they can go -- but nobody, least of all Jill, expects the fun to end where it does.",Từ 13 tuổi trở lên
1264,Bookmark days,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Bookmark-days.jpg,32-6,035,Scot Gardner,Sách truyện người lớn,Lãng mạn,Allen & Unwin,"Avril falls in love for the first time with the boy next door, but his family and hers are bitter enemies, in this Romeo and Juliet story set in sheep farming country I've been driving the ute and the tractor since I was eleven. I get to sleep under the stars, help lambs into the world and ride my horse whenever I want.Avril Stanton has never been in love, until she meets Nathaniel, the boy from the farm next door. With his crazy hair and killer smile, he's perfect except for one detail - he's from the wrong side of the fence. Avril's family and Nathaniel's family have been feuding for two generations and aren't about to stop now. To follow her heart, Avril will have to stand up to her family. Will it be a Romeo-and-Juliet-style tragedy or will a thunderstorm, a car accident, and a couple of conniving grandmothers be able to solve her dilemma?",Từ 13 tuổi trở lên
1304,Brendan Buckley's sixth-grade experiment,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Brendan-Buckley_s-sixth-grade-experiment.jpg,33-3,034,Sundee Frazier,Sách truyện người lớn,Khoa học,Yearling,"Brendan Buckley's headed to middle school, and he has some big questions! Can he keep his new pet anole, Einstein, alive? Will his tough-as-rock Grandpa Ed and sharp-witted grandma, Gladys, butt heads or become friends? Most importantly, what will he propose for the national science competition his class is entering?
Then Brendan's alternative energy idea gets him paired with Morgan Belcher, a talkative, formerly homeschooled girl, whose eyes sparkle whenever Brendan is around. Though skeptical, Brendan decides to give Morgan a chance, and they embark on their project - a methane-producing experiment involving beakers, balloons, and the freshest cow manure they can find.
As Brendan spends more time on the experiment and faces new challenges, his big questions get even bigger: Will he and Khalfani always be best friends? Does Dad really think he's a science-nerd wimp? ",Từ 13 tuổi trở lên
1307,Bridget Jones's diary,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Bridget-Jones_s-diary.jpg,34-2,056,Helen Fielding,Sách truyện người lớn,Thực tế,Penguin Books,"Bridget Jones's Diary is the devastatingly self-aware, laugh-out-loud account of a year in the life of a thirty-something Singleton on a permanent doomed quest for self-improvement. Caught between the joys of Singleton fun, and the fear of dying alone and being found three weeks later half eaten by an Alsatian; tortured by Smug Married friends asking, ""How's your love life?"" with lascivious, yet patronizing leers, Bridget resolves to: reduce the circumference of each thigh by 1.5 inches, visit the gym three times a week not just to buy a sandwich, form a functional relationship with a responsible adult and learn to program the VCR. With a blend of flighty charm, existential gloom, and endearing self-deprecation, Bridget Jones's Diary has touched a raw nerve with millions of readers the world round. Read it and laugh - before you cry, ""Bridget Jones is me!""",Từ 13 tuổi trở lên
1318,Bronze and Sunflower,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Bronze-and-Sunflower.jpg,32-1,073,Cao Wenxuan,Sách truyện người lớn,Phiêu lưu,Candlewick Press,"A beautifully written, timeless tale by Cao Wenxuan, best-selling Chinese author and 2016 recipient of the prestigious Hans Christian Andersen Award.
Sunflower is an only child, and when her father is sent to the rural Cadre School, she has to go with him. Her father is an established artist from the city and finds his new life of physical labor and endless meetings exhausting. Sunflower is lonely and longs to play with the local children in the village across the river. When her father tragically drowns, Sunflower is taken in by the poorest family in the village, a family with a son named Bronze. Until Sunflower joins his family, Bronze was an only child, too, and hasn't spoken a word since he was traumatized by a terrible fire. Bronze and Sunflower become inseparable, understanding each other as only the closest friends can. Translated from Mandarin, the story meanders gracefully through the challenges that face the family, creating a timeless story of the trials of poverty and the power of love and loyalty to overcome hardship.",Từ 13 tuổi trở lên
1418,By sun and candlelight,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/By-sun-and-candlelight.jpg,34-1,047,Shirley Hughes,Sách truyện người lớn,Truyền cảm hứng,"Hodder Children's Books
",A classic anthology of poems and writings for a lifetime by Shirley Hughes - the doyenne of the picture book world.,Từ 13 tuổi trở lên
1433,Call down thunder,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Call-down-thunder.jpg,33-3,065,Daniel Finn,Sách truyện người lớn,Tưởng tượng,Pan Macmillan,"A fast-paced, vividly rendered story of bravery, corruption, and survival
Reve and his sister Mi are alone in the world—their father is dead and their mother has abandoned them. Reve has to learn to be a man - to fight, to fish, to live. He must protect Mi from the rest of the world. She is special, hears voices, can see things. She can call down thunder. Traveling to the big city to search for their mother, Reve and Mi get sucked into the squalid underworld of the sprawling barrio, where danger lurks around every corner, and each day is a fight for survival.",Từ 13 tuổi trở lên
1512,Catwalk,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Catwalk.jpg,32-5,077,Deborah Gregory,Sách truyện người lớn,Thực tế,Audible Studios on Brilliance Audio,"In Catwalk, Deborah Gregory creates a new YA series that takes her famously upbeat urban voice and combines it with the appeal of Project Runway and America's Next Top Model.
Catwalk follows Pashmina, Felinez, Angora, and Aphro, four best friends at Manhattan's Fashion International High School who are about to enter the contest of their lives. Each year students split up into Fashion Houses and compete to Thiết kế, produce, and show fully original fashion lines. The winner gets a scholarship, a professional show, and a real shot at a career in fashion.

Bouncy, smart, and nearly irresistible, Catwalk is a fierce introduction to a fashion world where fabulosity trumps waist size, and there truly is room for everyone.",Từ 13 tuổi trở lên
1536,Chanakya's chant,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Chanakya_s-chant.jpg,33-2,021,Ashwin Sanghi,Sách truyện người lớn,Tưởng tượng,Westland,"Chanakya's Chant is a thrilling novel that tells its readers about a sharp parallel story between two individuals. One of these individuals is the very person who brought the scattered Indian subcontinent under the reign of Chandragupta Maurya-Chanakya. Chanakya is one of the wisest political strategists to have ever lived in the history of India. The second protagonist is Gangasagar Mishra, who is a rather insignificant Brahmin teacher, who seems to be struggling to make ends meet, but is actually a reincarnation of Chanakya himself.
The author gives you an intricately woven plot that is set in two parallel worlds, but is tied together by its two protagonists, namely Chanakya and Gangasagar. Chanakya's tale, set in 340BC, is a tale of revenge that Chanakya seeks against the king and how he brings in Chandragupta Maurya to take over the throne. The second tale, based in modern-day India is that of Gangasagar grooming a young girl from Kanpur, to eventually become the prime minister of India.
Will Chanakya's ingenious ways bring about a drastic turn in the events of the nation? This captivating book answers just that, through its exploration of Chanakya's ingenious and calculated moves that have altered the course of events in the past.",Từ 13 tuổi trở lên
1603,Children of the Lamp: the grave robbers of Genghis Khan,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Children-of-the-Lamp-the-grave-robbers-of-Genghis-Khan.jpg,33-5,075,P. B. Kerr,Sách truyện người lớn,Tưởng tượng,Scholastic ,"The final installment of bestselling P. B. Kerr's magical Children of the Lamp series. Djinn twins John and Philippa are off on another enchantingand dangerous, Phiêu lưu in the last book in the bestselling Children of the Lamp series. As volcanoes begin erupting all over the world, spilling golden lava, the twins must go on a hunt for the wicked djinn who wants to rob the grave of the great Genghis Khan. Can the twins stop this latest disaster before the world is overwhelmed? Join John and Philippa, their parents, Uncle Nimrodand Groanin as they must defeat an evil more powerful than any they've ever faced before.",Từ 13 tuổi trở lên
1614,Chip and Chase,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Chip-and-Chase.jpg,32-1,001,Billy Slater,Sách truyện người lớn,Tưởng tượng,Random House,"The fourth Billy Slater book finds one rugby player who can't keep up with his homework, and another looking for his chance to shine on the field.
Liam is the captain of the West Hill Ravens, and the heart and soul of the team. He lives, breathes, and sleeps rugby. The only problem is that it doesn’t leave him much time for anything else. Now his schoolwork is suffering, and his parents are on his back. He may even have to quit the team. And without their captain, the Ravens' chances of making the finals look grim. But team mentor Billy Slater has an idea - in the form of Ravi, the Ravens' inexperienced reserve player. If the two boys can work together, they may just save the team’s season.",Từ 13 tuổi trở lên
1725,Clone codes,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Clone-codes.jpg,33-2,011,Patricia McKissack,Sách truyện người lớn,Khoa học,Scholastic,"In the year 2170 an underground abolitionist movement fights for the freedom of cyborgs and clones, who are treated no better than slaves.
The Cyborg Wars are over and Earth has peacefully prospered for more than one hundred years. Yet sometimes history must repeat itself until humanity learns from its mistakes. In the year 2170, despite technological and political advances, cyborgs and clones are treated no better than slaves, and an underground abolitionist movement is fighting for freedom. Thirteen-year-old Leanna's entire life is thrown into chaos when The World Federation of Nations discovers her mom is part of the radical Liberty Bell Movement.",Từ 13 tuổi trở lên
1737,Club CSI: the case of the plagued play,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Club-CSI-the-case-of-the-plagued-play.jpg,34-6,076,David Lewman,Sách truyện người lớn,Bí ẩn,"Simon Spotlight
","The school play is in danger of closing before it even opens if Club CSI: can’t figure out who’s ruining rehearsals!
Someone is trying to sabotage the school play, and it’s up to Hannah, Ben, and Corey to make sure the show goes on. Club CSI: learns that the play was written by an eighth grader at Woodlands Junior High… Is the culprit a jealous classmate? Or could a disgruntled actor be to blame? As more props go missing and the set is vandalized, Club CSI: must use all of the investigation and forensic science techniques in their arsenal to crack the case. Because if they don’t, the play’s final curtain call might happen before opening night!",Từ 13 tuổi trở lên
1779,Complete nonsense,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Complete-nonsense.jpg,32-6,061,Edward Lear,Sách truyện người lớn,Thực tế,Dover Publications,"Here is every line of every nonsense book written by Edward Lear. In a single volume you get ""A Book of Nonsense,"" ""Nonsense Songs,"" ""More Nonsense Songs,"" ""Laughable Lyrics,"" and ""Nonsense Songs and Stories. No other low-price edition offers this complete collection.
You will meet such old favorites as ""The Dong With a Luminous Nose,"" ""The Jumblies,"" ""The Owl and the Pussycat,"" ""The Nutcrackers and the Sugar Tongs,"" and ""The History of the Seven Young Owls."" Two hundred and fourteen limericks are in here as well, each illustrated with the drawing Lear composed specially for it. In addition, you'll find three different sets of Nonsense Botany, five Nonsense Alphabets, and dozens of other selections in both prose and verse.",Từ 13 tuổi trở lên
1953,Crow country,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Crow-country.jpg,33-5,071,Kate Constable,Sách truyện người lớn,Bí ẩn,Allen & Unwin,"From the author of the Chanters of Tremaris series comes a contemporary time travel Tưởng tượng, grounded in the landscape of Australia
Beginning and ending, always the same, always now. The game, the story, the riddle, hiding and seeking. Crow comes from this place; this place comes from Crow. And Crow has work for you.
Sadie isn't thrilled when her mother drags her from the city to live in the country town of Boort. But soon she starts making connections—with the country, with the past, with two boys, Lachie and Walter, and, most surprisingly, with the ever-present crows. When Sadie is tumbled back in time to view a terrible crime, she is pulled into a strange Bí ẩn. Can Sadie, Walter, and Lachie figure out a way to right old wrongs, or will they be condemned to repeat them? A Tưởng tượng ground in mythology, this novel has the backing of a full consultative process on the use of indigenous lore.",Từ 13 tuổi trở lên
2156,Dinosaurology,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Dinosaurology.jpg,34-1,010,Raleigh Rimes,Sách truyện người lớn,Khoa học,Candlewick,"Could dinosaurs still roam the earth? With this discovery in the ’Ology series, readers come face-to-face with living, breathing dinosaurs.
What if dinosaurs had not died out? What if whole colonies of the prehistoric beasts had survived on a remote island off the coast of South America? This Phiêu lưu in the best-selling ’Ology series offers young dinosaur lovers a tantalizing taste of what that would be like. The year is 1907, and young Phiêu lưur Raleigh Rimes is on an expedition to South America with real-life explorer Percy Fawcett. There he discovers the unimaginable: living dinosaurs roaming the rain forest! Presented as a journal detailing their extraordinary (and hairraising) encounters with the amazing beasts — fearsome Tyrannosaurus rex, pack-hunting allosauruses, predatory velociraptors, armored triceratops, and other species — Dinosaurology is filled with flaps and booklets offering dinosaur lore, along with such novelties as a sample of dinosaur skin, a pouch of ground stegosaurus horn, and more.",Từ 13 tuổi trở lên
2234,Dog tags: prisoners of war,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Dog-tags-prisoners-of-war.jpg,34-6,079,Alexander London,Sách truyện người lớn,Thực tế,Scholastic,"Man's best friend goes to war.
Two enemy soldiers. One uneasy alliance.
Miguel is a medic in the US Army. Stationed in a remote Belgian forest during World War II, he's expecting a quiet tour of duty. But the Nazis have other ideas. They launch a surprise attack . . . one that separates Miguel from his entire division.
Alone and lost in enemy territory, Miguel discovers an abandoned dog, left behind by German forces. The dog could be just the ally Miguel needs to get out of the forest alive. There's a catch, though. The dog has been trained by the Nazis to see Miguel as the enemy. Can a young soldier teach an old dog new tricks?",Từ 13 tuổi trở lên
2243,Dogs: a portrait in pictures and words,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Dogs-a-portrait-in-pictures-and-words.jpg,29-4R,020,Charlotte Fraser,Sách về sở thích,Thú cưng,Summersdale,"A dog is a creature of love. Their never-ending loyalty and boundless enthusiasm is the light in any dog lover’s life.
This handsome photographic collection of the most eye-catching and enchanting dogs, packed with witty quotes and heart-warming poems, is guaranteed to captivate and charm anybody who has ever known the companionship of a dog.",10-12 tuổi
2292,Double or die: a James Bond Adventure,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Double-or-die-a-James-Bond-adventure.jpg,34-4,010,Charlie Higson,Sách truyện người lớn,Bí ẩn,Hyperion Press,"Kidnapping. Explosions. Murder. This is no ordinary weekend. But then, James Bond is no ordinary boy... In a north London cemetery, a professor is kidnapped at gunpoint. Then, a suspicious letter crammed with cryptic clues arrives at Eton. To decipher the deadly Bí ẩn, James Bond must take a series of dangerous gambles. Once the code is cracked, he has just forty-eight hours to save the professor from the dark forces that threaten to destroy them both. And if they can't escape, it's not only their future under threat. It's the rest of the world's...",Từ 13 tuổi trở lên
2377,Dublin people: short stories ,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Dublin-people-short-stories.jpg,33-1,038,Maeve Binchy,Sách truyện người lớn,Thực tế,Oxford,"A young country girl comes to live and work in Dublin. Jo is determined to be modern and independent, and to have a wonderful time. But life in a big city is full of strange surprises for a shy country girl . . . Gerry Moore is a man with a problem - alcohol. He knows he must give it up, and his family and friends watch nervously as he battles against it. But drink is a hard enemy to fight . . . These stories by the Irish writer Maeve Binchy are full of affectionate humour and wit, and sometimes a little sadness.",Từ 13 tuổi trở lên
2394,Earth girl,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Earth-girl.jpg,33-5,029,Janet Edwards,Sách truyện người lớn,Khoa học,Pyr,"A sensational YA Khoa học debut from an exciting new British author! Just because she's confined to the planet, doesn't mean she can't reach for the stars. 2788. Only the handicapped live on Earth. Eighteen-year-old Jarra is among the one in a thousand people born with an immune system that cannot survive on other planets. Sent to Earth at birth to save her life, she has been abandoned by her parents. She can't travel to other worlds, but she can watch their vids, and she knows all the jokes they make. She's an ""ape,"" a ""throwback,"" but this is one ape girl who won't give in. Jarra makes up a fake military background for herself and joins a class of norms who are on Earth for a year of practical history studies excavating the dangerous ruins of the old cities. She wants to see their faces when they find out they've been fooled into thinking an ape girl was a norm. She isn't expecting to make friends with the enemy, to risk her life to save norms, or to fall in love.",Từ 13 tuổi trở lên
2457,Eight jewels of the phoenix,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Eight-jewels-of-the-phoenix.jpg,33-2,028,Tutu Dutta-Yean,Sách truyện người lớn,Tưởng tượng,MPH Books,"This volume brings together eight folktales and legends from countries around the Asia-Pacific Rim. The tales have been retold and reinterpreted in many forms through the ages. Like the phoenix, they are fierce and full of colour, magic and Phiêu lưu. The places brought to life in this collection include China, India, Japan, Malaysia, the Philippines, North America and Thailand.",Từ 13 tuổi trở lên
2458,Eight jewels of the phoenix,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Eight-jewels-of-the-phoenix.jpg,33-2,042,Tutu Dutta-Yean,Sách truyện người lớn,Tưởng tượng,MPH Books,"This volume brings together eight folktales and legends from countries around the Asia-Pacific Rim. The tales have been retold and reinterpreted in many forms through the ages. Like the phoenix, they are fierce and full of colour, magic and Phiêu lưu. The places brought to life in this collection include China, India, Japan, Malaysia, the Philippines, North America and Thailand.",Từ 13 tuổi trở lên
2464,Electrotaur and Slashermite,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Electrotaur-and-Slashermite.jpg,34-3,018,Ali Sparkes,Sách truyện người lớn,Tưởng tượng,Scholastic,"Jack and Lewis never dreamed their monster drawings would come to life, but the boys wake up to find their latest creations, Electrotaur and Slashermite, are in their bedroom. From that point on, Jack and Lewis' lives are turned upside down.",Từ 13 tuổi trở lên
2492,Elliot and the goblin war,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Elliot-and-the-goblin-war.jpg,33-5,005,Jennifer Nielsen,Sách truyện người lớn,Tưởng tượng,Sourcebooks Young Readers ,"As of today, there are only 7 children who have ever read this book and lived to tell about it. 95 children successfully read the first chapter, but upon beginning chapter 2, they started blabbering in some language known only as ""flibberish."" 38 children made it halfway through this wretched book before they began sucking their thumbs through their noses.

If you're very brave, perhaps you are willing to take your chances. Be sure that you have told your family who gets your favorite toys if you do not survive this book. Read it now, if you dare. But don't say you haven't been warned, for this is the story that unfolds the mysteries of the underworld.",Từ 13 tuổi trở lên
2533,End zone,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/End-zone.jpg,33-3,055,Tiki Barber,Sách truyện người lớn,Thực tế,Simon Schuster,"The Hidden Valley Eagles have high hopes for the football championship in this middle grade novel from NFL superstars and bestselling authors Tiki and Ronde Barber.

Tiki and Ronde are ready to end junior high with a win—a big win! Their dream is to see their team in the championship, and with the Hidden Valley Eagles’ undefeated season, their chances are strong.

But when Manny, the star quarterback, starts having headaches, the doctor says he has a minor concussion, and he is out for two weeks. The whole school is counting on the team, but with pressure building, Tiki and Ronde are starting to lose their confidence. More than that, they think their good luck is going to run out. Will the team let an injury keep them from the championship? Or can they learn to work together to bring home a win?

From real-life NFL superstar brothers Tiki and Ronde Barber, this is an inspiring story of teamwork and triumph.",Từ 13 tuổi trở lên
2586,Essex Girls,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Essex-Girls.jpg,34-2,063,Laura Ziepe,Sách truyện người lớn,Lãng mạn,Avon,"You can take the girl out of Essex …
You’ll be well jel over the Phiêu lưus of three good-hearted, strong-willed, fake-baked Essex Girls. Fun, fresh and always ream, this novel Perfect for fans of TOWIE and the novels of Katie Price.
Jade did everything she could to fit in at university – toned down her tan, gave up on her favourite fake lashes, swapped Thiết kếer dresses for jeans. And it seemed to make her boyfriend Tom happy. But obviously not quite happy enough.
When. Jade finds Tom’s been cheating she heads home: to Essex. Reunited with her best mates Kelly and Lisa, even a night out at The Sugar Hut isn’t enough to put a smile back on her face. So they hatch a plan to get away from it all, to a place so ream it’s unreal – Marbella. Sun, sea, men, vajazzles: what could possibly go wrong?

A fun, fresh and always polished novel for the Essex Girl in all of us",Từ 13 tuổi trở lên
2701,Fairyland magic,https://lotuscommunity.org.vn/wp-content/uploads/2021/10/Fairyland-magic.jpg,30-5R,002,Patricia Moffett,Sách học và hoạt động,Hoạt động (0-6 tuổi),Carlton Books,"It's fairyland magic - with a little help from modern-day technology! Open this book, hold it up your computer's webcam, touch a key, and watch a pretty fairy come to life. From out of the pages will fly the fairy queen; a woodland fairy, flapping its wings and playing a flute; a gentle flower fairy, and another who will land on your hand.
Each spread contains three animations that will take children into a new dimension, while the fascinating text reveals secret details of the fairy realm. All that's needed is a computer and webcam; the book includes a CD-Rom to install the software. No Internet required!",0-6 tuổi
