Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
The Young Scientists level 2 issue 144: Flying fish,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-144-Flying-fish.jpg,11-5,057,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 146: Superpowers,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-146-Superpowers.jpg,11-5,053,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 147: Can you hear?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-147-Can-you-hear.jpg,11-5,055,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 149: Is that the moon?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-149-Is-that-the-moon.jpg,11-5,054,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 151: Ricky hats cavities,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-151-Ricky-hats-cavities.jpg,11-5,056,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 153: The harmless whale shark,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-153-The-harmless-whale-shark.jpg,11-5,060,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 154: Who's the monster with long hair?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-154-Who_s-the-monster-with-long-hair.jpg,11-5,052,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 155: An honoured guest with a huge bill,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-155-An-honoured-guest-with-a-huge-bill.jpg,11-5,051,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 156: The big-headed fish,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-156-The-big-headed-fish.jpg,11-5,050,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 158: What is influenza?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-158-What-is-influenza.jpg,11-5,049,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 163: Poinsonous mushrooms,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-163-Poinsonous-mushrooms.jpg,11-5,048,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 180: Black phantom shoots the sun,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-180-Black-phantom-shoots-the-sun.jpg,11-5,047,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 185: What is the lotus effect?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-185-What-is-the-lotus-effect.jpg,11-5,046,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 3 issue 101: Crocodiles' escapade,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-101-Crocodiles_-escapade.jpg,11-5,071,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 138: The bald eagles,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-138-The-bald-eagles.jpg,11-5,073,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 143: Go cheetah go,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-143-Go-cheetah-go.jpg,11-5,074,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 145: Frilled lizard,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-145-Frilled-lizard.jpg,11-5,075,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 146: Pinnipeds,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-146-Pinnipeds.jpg,11-5,076,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 147: Who am I?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-147-Who-am-I.jpg,11-5,025,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 151: Living fossils on the Earth,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-151-Living-fossils-on-the-Earth.jpg,11-5,026,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 154: Visit to Earth,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-154-Visit-to-Earth.jpg,11-5,027,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 158: Toco toucan,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-158-Toco-toucan.jpg,11-5,028,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 161: A white tiger,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-161-A-white-tiger.jpg,11-5,029,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 164: Little blue penguins,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-164-Little-blue-penguins.jpg,11-5,030,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 165: Tarantulas,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-165-Tarantulas.jpg,11-5,031,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 168: Mulberries and mulberry trees,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-168-Mulberries-and-mulberry-trees.jpg,11-5,032,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 169: My nose itches,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-169-My-nose-itches.jpg,11-5,033,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 170: Living fossils in the sea,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-170-Living-fossils-in-the-sea.jpg,11-5,034,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 171: Rock and stones,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-171-Rock-and-stones.jpg,11-5,035,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 172: Dinosaur island,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-172-Dinosaur-island.jpg,11-5,036,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 174: The see-saw and the stetoscope,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-174-The-see-saw-and-the-stetoscope.jpg,11-5,037,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 176: A super food called chia seeds,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-176-A-super-food-called-chia-seeds.jpg,11-5,038,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 177: NASA's image satellite is not lost in space,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-177-NASA_s-image-satellite-is-not-lost-in-space.jpg,11-5,039,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 85: What if all the sea otters were extinct?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-85-What-if-all-the-sea-otters-were-extinct.jpg,11-5,040,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 3 issue 98: Plastic made from sugar,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-3-issue-98-Plastic-made-from-sugar.jpg,11-5,041,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 3) magazine explores further the intricacy and mysteries of Science with fascinating articles, challenging questions to enhance development of Science concepts, meaningful experiments to build confidence and interesting Science stories in comic format.

In this issue, learn about the modern wonder called barcodes, discover what a sponge city is, find out whether animals can carry out photosynthesis, and more!",10-12 tuổi
The Young Scientists level 4 issue 11: Are nuclear power plants safe,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-4-issue-11-Are-nuclear-power-plants-safe.jpg,11-5,070,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 4) magazine strengthens children's foundation in Science and prepares them for their Science subjects in secondary school. The topics of the magazine aim to expose readers to more in-depth understanding of key Science concepts while maintaining the fun and exciting comic style which is the trademark of The Young Scientists magazine.

In this issue, explore the world's first floating farm, find out how canyons are formed, understand the fuss about carbonated drinks, and more!",10-12 tuổi
The Young Scientists level 4 issue 31: Feeling sleepy after a meal,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-4-issue-31-Feeling-sleepy-after-a-meal.jpg,11-5,069,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 4) magazine strengthens children's foundation in Science and prepares them for their Science subjects in secondary school. The topics of the magazine aim to expose readers to more in-depth understanding of key Science concepts while maintaining the fun and exciting comic style which is the trademark of The Young Scientists magazine.

In this issue, explore the world's first floating farm, find out how canyons are formed, understand the fuss about carbonated drinks, and more!",10-12 tuổi
