S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
2117,Destructive hurricanes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Destructive-hurricanes.jpg,27-6,019,Michael Portman,Sách tham khảo,Trái đất của chúng ta,Gareth Stevens Pub Learning library ,"Introduces hurricanes, describing how they are formed, how they are measured, the types of damage they cause, and some of the more destructive hurricanes of the past.",10-12 tuổi
2120,Devastated by a volcano,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Devastated-by-a-volcano.jpg,27-6,020,Stephen Person,Sách tham khảo,Trái đất của chúng ta,Bearport Publishing,"On June 25, 1997, a volcano on the Caribbean island of Montserrat erupted, spewing hot lava and ash. Linda Daley was washing clothes outside her home in the nearby city of Plymouth when she saw fiery clouds begin to shoot out of the volcano. With clouds of ash and poisonous gases speeding toward her, how would she survive? Eyewitness accounts and incredible photos bring to life the experiences of ordinary people who faced catastrophic dangerand lived to tell their stories. Kids will discover the causes and characteristics of volcanoes, and learn about the scientific advances that now allow earlier warnings of possible eruptions to be issued. Safety tips show young readers what to do if they are ever near a volcanic eruption.",10-12 tuổi
2391,Earaches (head-to-toe),https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Earaches-(head-to-toe).jpg,25-6,060,Elaine Landau,Sách tham khảo,Cơ thể,Cavendish Square Publishing,Provides basic information about earaches and their prevention.,10-12 tuổi
2397,Earth-friendly living,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Earth-friendly-living.jpg,26-3,048,Miriam Coleman,Sách tham khảo,Cuộc sống thường ngày,PowerKids Press ,"There is so much we can do to improve the health of Earth just in our everyday lives. In this book, readers will learn about all the different areas where they can go green in their daily activities. This book will empower students to make better, Earth-friendlier choices about what they do, what they buy, and how they get from place to place.",10-12 tuổi
2403,Earth's fever,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Earth_s-fever.jpeg,27-6,079,Stephen Aitken,Sách tham khảo,Trái đất của chúng ta,Looking Glass Library,"Temperatures all over the world are rising due to climate change, causing many plants and animals to change the way they behave. Provide even the youngest readers information about Earth, the changes in climate and its affects, and what they can do to help preserve Trái đất của chúng ta with Earth's Fever. Bright, colorful illustrations and straightforward text make this topic accessible for even the youngest audience.",10-12 tuổi
2399,Earthquakes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Earthquakes-1.jpg,27-6,050,Ian Graham,Sách tham khảo,Trái đất của chúng ta,Octopus Publishing Group,"Earthquakes can cause terrible devastation for both the environment, and humans living in danger zones. Discover how science can help to predict and protect us from the impact of earthquakes.",10-12 tuổi
2400,Earthquakes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Earthquakes-2.jpg,27-6,030,Renee Gray-Wilburn,Sách tham khảo,Trái đất của chúng ta,Capstone Press,"In graphic novel format, text and illustrations explain how earthquakes happen, how their strength is measured, and how to stay safe during one.",10-12 tuổi
2401,Earthquakes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Earthquakes-3.jpg,26-3,065,Ker Than,Sách tham khảo,Cuộc sống thường ngày,Children's Press,"An exploration of earthquakes and their causes.
A True Book: Earth Science series presents fascinating facts and fun activities that will engage the budding earth scientist, while exploring the fields of geology, meteorology, ecology, and more. ",10-12 tuổi
2402,Earthquakes and tsunamis,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Earthquakes-and-tsunamis.jpg,27-6,001,Terry Jennings,Sách tham khảo,Trái đất của chúng ta,Franklin Watts,"Introduces earthquakes and tsunamis, explaining what causes them and how they are measured, along with examples of recent disasters that have occurred around the world in the last twenty years.",10-12 tuổi
2418,Eat right,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Eat-right.jpeg,26-3,010,Allyson Valentine Schrier,Sách tham khảo,Cuộc sống thường ngày,Capstone Press,"What you have for breakfast can affect your mind and body for the rest of the day. But how do you know which choice is right? Choosing what to eat for breakfast, lunch, and dinner doesn't have to be stressful. Learn how to make an informed decision during mealtimes. Then spend your day with plenty of energy. Its a busy world, but with the right fuel, your body will be prepared.",10-12 tuổi
2425,Eclipses,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Eclipses.jpg,26-6,049,Marcia Zappa,Sách tham khảo,Vũ trụ,Abdo Publishing Group,"Expand your young reader's universe! Simple, straightforward text paired with vibrant photos and colorful diagrams breaks down scientific concepts of eclipses, such as the alignment of the sun, Earth, and the moon. Types of eclipses are described, including partial, total, and annular solar eclipses as well as partial and total lunar eclipses. Also discussed are the discovery of eclipses and how scientists study them with telescopes and other tools. Features include a table of contents, fun facts, a glossary with phonetics, and an index.",10-12 tuổi
2541,Energy from the sun,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Energy-from-the-sun.jpg,27-6,082,Allan Fowler,Sách tham khảo,Trái đất của chúng ta,Children's Press,"Discover how energy from the sun provides us with heat, light, plants, food and other things necessary for life on Earth.
",10-12 tuổi
2560,Erased by a tornado,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Erased-by-a-tornado.jpg,27-6,027,Jessica Rudolph,Sách tham khảo,Trái đất của chúng ta,Bearport Publishing,Eyewitness accounts and incredible photos bring to life the experiences of ordinary people who faced danger- and lived to tell their stories.,10-12 tuổi
2638,Exploring dangers in space,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Exploring-dangers-in-space.jpg,26-6,036,Buffy Silverman,Sách tham khảo,Vũ trụ,Lerner Publishing Group,"Have objects from space ever hit Earth? Yes! Every day, small meteoroids crash into the atmosphere. Some burn up, but some hit the ground. Space junk also falls to Earth. Comets and asteroids struck Earth long ago. In this book, you'll learn how scientists watch out for large collisions and what they might do if Earth is in danger. ",10-12 tuổi
2639,Exploring flowers,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Exploring-flowers.jpg,27-5,095,Kristin Sterling,Sách tham khảo,Trái đất của chúng ta,Lerner Publishing Group,"Why do plants have flowers? Readers will discover how flowers can develop into fruits, vegetables, or seeds for producing more plants.",10-12 tuổi
2641,Exploring our solar system: the Earth,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Exploring-our-solar-system-the-Earth.jpg,27-6,002,David Jefferis,Sách tham khảo,Trái đất của chúng ta,Crabtree Publishing ,"This highly illustrated book takes an in depth look at our home planet, including the inside core, the oceans and continents, the atmosphere surrounding it, and how it is affected by other planetary bodies.",10-12 tuổi
2644,Exploring stems,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Exploring-stems.jpg,27-5,086,Kristin Sterling,Sách tham khảo,Trái đất của chúng ta,Lerner Publishing Group,"What do stems do? Kids will see how stems are like straws, moving water and food throughout the plant.",10-12 tuổi
2658,Extreme space: exploration,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Extreme-space-exploration.jpg,26-6,030,S. L. Hamilton,Sách tham khảo,Vũ trụ,Abdo Publishing Group,Xtreme Space brings the wonders of our universe into kids' hands. Exploration introduces readers to both the history and future of Vũ trụ exploration. ,10-12 tuổi
2659,Extreme space: sky watch,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Extreme-space-sky-watch.jpg,26-6,038,S. L. Hamilton,Sách tham khảo,Vũ trụ,Abdo Publishing Group,"Sky Watch introduces readers to both the history and future of Vũ trụ exploration. These books may be learning tools, but they are also designed to feed the interests of reluctant readers through stunning images from NASA, as well as the Hubble and Spitzer Telescopes. Glossary words provide additional information and understanding to the curious reader.",10-12 tuổi
2663,Eyes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Eyes.jpg,25-6,090,Cynthia Klingel,Sách tham khảo,Cơ thể,Gareth Stevens Publishing,An introduction to eyes and how they are used.,10-12 tuổi
2675,Fabulous fruits,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Fabulous-fruits.jpg,26-3,055,John Burstein,Sách tham khảo,Cuộc sống thường ngày,Crabtree Publishing,"In this sweet new book, Slim explores the essential nutritional value of the fruit group. Children will learn about the amazing amount of water in fruit, how fruit blossoms, why the tomato is considered a piece of fruit, the wide variety of products made with fruit, groves and orchards around the world, how worms get into apples, and how many fruits a person needs to eat each day.",10-12 tuổi
2755,Far-out guide to Saturn,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Far-out-guide-to-Saturn.jpg,26-6,026,Mary Carson,Sách tham khảo,Vũ trụ,Bailey Books,"Saturn - the jewel of the solar system - has seven mysterious and beautiful rings. These rings, made of ice, dust, and rock, range in size from a snow crystals to a house. Learn about the amazing spacecraft missions to Saturn, the dedicated scientists who plan them, and more far-out facts about the sixth planet from the sun.",10-12 tuổi
2757,Far-out guide to Uranus,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Far-out-guide-to-Uranus.jpg,26-6,033,Mary Carson,Sách tham khảo,Vũ trụ,Bailey Books,"How do scientists know anything about Uranus? Spacecraft from Earth have visited Uranus. Featuring a center spread with fast facts, this book highlights the missions, the men and women who plan them, and more far-out facts about the seventh planet from the sun.",10-12 tuổi
2895,Floods,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Floods.jpg,26-3,064,Libby Koponen,Sách tham khảo,Cuộc sống thường ngày,Scholastic,"Discover the nature and causes of floods, their impact on society, and ways of defending against them.",10-12 tuổi
2909,"Fluffy, flat, and wet: a book about clouds",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Fluffy-flat-and-wet-a-book-about-clouds.jpg,27-6,026,Dana Rau,Sách tham khảo,Trái đất của chúng ta,Picture Window Books,"Describes how clouds form, and explains the differences between cirrus, stratus, cumulus, and nimbus clouds. Includes activity.",10-12 tuổi
2929,Food and energy: striking a healthy balance,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Food-and-energy-striking-a-healthy-balance.jpg,26-3,069,Kristin Petrie,Sách tham khảo,Cuộc sống thường ngày,‎Abdo Publishing,"From breakfast to dinner and everything in between, this title offers eager readers a fun look at energy balance. Bright, colorful photos will entice readers as they learn how to read nutrition labels and use serving sizes. Readers will also gain an understanding of the Food guide pyramid and ways to balance their energy in and energy out. Engaging chapters present skills for making smart food choices and approach issues related to BMI and body image in a straightforward, positive light. Smart sidebars highlight additional opportunities for exploring energy balance, while a full-page spread offers ideas from the Let's Move! campaign for balancing food and activity. This title will leave readers feeling energized to lead healthier lives! Bolded glossary terms, phonetic spellings, and an index are included. ",10-12 tuổi
2932,Food as fuel: nutrition for athletes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Food-as-fuel-nutrition-for-athletes.jpg,26-3,070,Kristin Petrie,Sách tham khảo,Cuộc sống thường ngày,Checkerboard Library,"Describes the best foods and a proper diet for athletes, detailing the best types of food for a balanced diet, how many daily calories an athlete needs, and the importance of drinking water.",10-12 tuổi
2936,Food from the sun: how plants live and grow,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Food-from-the-sun-how-plants-live-and-grow.jpg,27-6,025,Harriet Brown,Sách tham khảo,Trái đất của chúng ta,Rourke Pub Group,"Discusses photosynthesis, how plants use water and soil, how things move inside a plant, how plants reproduce, seeds, survival in tough situations, and the effect of global warming on plants.",10-12 tuổi
2937,Food options: following special diets,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Food-options-following-special-diets.jpg,26-3,071,Kristin Petrie,Sách tham khảo,Cuộc sống thường ngày,‎Abdo Publishing,"From breakfast to dinner and everything in between, this title will work up hungry readers' appetites with a delicious look at food and diet options. Bright, colorful photos will entice readers as they learn about the benefits of various meal plans, from a vegetarian diet to a Mediterranean one. Readers will also gain an understanding of how to eat green and deal with food allergies. Engaging chapters present ways to assess food options and approach fast-food alternatives in a straightforward, positive light. Smart sidebars highlight additional opportunities for exploring modified diets, while a full-page spread offers ideas from the Let's Move! campaign for maintaining a balanced diet. This title will leave readers feeling confident about their own unique diets! Bolded glossary terms, phonetic spellings, and an index are included. ",10-12 tuổi
2971,Fossil fuels,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Fossil-fuels.jpg,27-5,068,Julie Richards,Sách tham khảo,Trái đất của chúng ta,MacMillan Education ,"Answering the question 'What is energy?' and describing the different forms of energy, this series enables us to read about how each form of energy is collected, stored, converted into power. As well as photographs, there are summary tables, which show advantages and disadvantages associated with the energy. This work is intended for ages 10+.",10-12 tuổi
3074,Fungus,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Fungus.jpg,27-6,013,Robert Snedden,Sách tham khảo,Trái đất của chúng ta,Franklin Watts,"Show-casing a wide variety of plants and animals, detailing what makes each class distinctive and different. Explaining how life is shaped by the challenge for survival - finding food, staying safe and starting the next generation - in the varied habitats of our world.",10-12 tuổi
3231,"Give me a hand: the secrets of hands, feet, arms, and legs",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Give-me-a-hand-the-secrets-of-hands-feet-arms-and-legs.jpg,25-6,047,Melissa Stewart,Sách tham khảo,Cơ thể,Cavendish Square Publishing,"Provides comprehensive information on the role hands, feet, arms, and legs play in the body science of humans and animals.",10-12 tuổi
3290,Good food: fruit,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Good-food-fruit.jpg,27-6,051,Julia Adams,Sách tham khảo,Trái đất của chúng ta,Wayland,"This book tells you all about fruit, how it grows and why it is good for us. Find out what an orchard is, discover what blueberry trees look like, and follow a simple recipe to make a fruit salad.",10-12 tuổi
3291,Good food: grains and cereals,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Good-food-grains-and-cereals.jpg,26-3,035,Julia Adams,Sách tham khảo,Cuộc sống thường ngày,Wayland,"This book aims to develop children’s understanding of nutrition and where their food comes from. Exploring a major food group, it explains how grains and cereals are produced and how they can be stored and prepared.",10-12 tuổi
3311,"Good-bye, Jeepers",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Good-bye-Jeepers.jpg,26-3,024,Nancy Loewen,Sách tham khảo,Cuộc sống thường ngày,Picture Window Books,"When a pet dies, it can feel like you lost your best friend. What do you do? Whether you had a guinea pig, dog, cat, or fish, this story can help you through the tough times.
",10-12 tuổi
3351,Grains and starchy foods,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Grains-and-starchy-foods.jpg,26-3,087,Nancy Dickmann,Sách tham khảo,Cuộc sống thường ngày,Raintree Publishers,"Make a place for grains and starches in your diet. Readers will learn about different types of grains available and their nutritional value and uses, as well as ideas for cooking and baking with grains.",10-12 tuổi
3427,Grow your own strawberries,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Grow-your-own-strawberries.jpg,27-6,009,Helen Lanz,Sách tham khảo,Trái đất của chúng ta,Franklin Watts,"Covers everything you need to know to grow healthy strawberries, including information on the equipment you need, when and how to plant, common pests, and gives some recipes to try.",10-12 tuổi
3587,Head lice,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Head-lice.jpg,25-6,061,Elaine Landau,Sách tham khảo,Cơ thể,‎Cavendish Square Publishing,Provides basic information about head lice and its prevention.,10-12 tuổi
3594,Healthy habits: exercise,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Healthy-habits-exercise.jpg,26-3,074,Jayne Denshire,Sách tham khảo,Cuộc sống thường ngày,Smart Apple Media,"This very low level non-fiction reader, offers labeled photos featuring a strong multicultural world, a what, when, where, why format, and glossary. Editorial mission emphasizes exercise and routine building with checklist, ""Amazing Facts"" page and play focused activities.",10-12 tuổi
3596,Healthy habits: wellbeing,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Healthy-habits-wellbeing.jpg,26-3,073,Jayne Denshire,Sách tham khảo,Cuộc sống thường ngày,Smart Apple Media,"Describes what people can do to stay healthy, discussing the importance of such things as exercising, eating right, having a positive attitude, and relaxation.",10-12 tuổi
3600,Hearing things,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Hearing-things.jpg,25-6,092,Allan Fowler,Sách tham khảo,Cơ thể,Children's Press,"The natural world comes alive for young readers with Rookie Read-About RM Science! With striking, full-color photos and just the right amount of text, this series immediately involves young readers as they discover intriguing facts about the fascinating world around them.",10-12 tuổi
3601,Hearing things,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Hearing-things.jpg,25-6,084,Allan Fowler,Sách tham khảo,Cơ thể,Children's Press,"The natural world comes alive for young readers with Rookie Read-About RM Science! With striking, full-color photos and just the right amount of text, this series immediately involves young readers as they discover intriguing facts about the fascinating world around them.",10-12 tuổi
3633,Helping habitats,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Helping-habitats.jpg,27-6,066,Barbara Webb,Sách tham khảo,Trái đất của chúng ta,Rourke Educational Media,"Teacher created resources is an educational publishing company founded by Mary Dupuy Smith, a classroom teacher. The concept behind this successful line is that they’re aware first-hand about teaching. All the products are ""created by teachers for teachers and parents."" Young readers discover what harms habitats and what people can do help.",10-12 tuổi
3669,Henry's heart,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Henry_s-heart.jpg,25-6,006,Charise Mericle Harper,Sách tham khảo,Cơ thể,Henry Holt and Co.,"Henry (and his heart) are perfectly happy playing indoors. But Henry's mom encourages him to go for a walk outside. Soon, Henry's heart starts beating faster. Is Henry riding a rollercoaster? Is he doing jumping jacks? What could be making Henry's heart beat faster?
In this engaging, informative story, children learn about the many ways the heart functions within the body, and how what we see, hear, and feel can directly affect our heart rate (like falling in love with a puppy!). Henry's Heart leads him to the best gift ever - woof woof!",10-12 tuổi
3769,Home sweet cave,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Home-sweet-cave.jpg,27-5,078,Mary Elizabeth Salzmann,Sách tham khảo,Trái đất của chúng ta,Abdo Publishing Company,"This informative title explores what a cave is and the various types that are used by animals. Large photographs are used to show the different animals that dwell in caves like bats, olms, spiders, cavefish and more. Each page spread has a simple sentence followed by facts about the animal. The title also includes a comprehension quiz and glossary.",10-12 tuổi
3902,How bodies work,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/How-bodies-work.jpg,25-6,057,Claire Llewellyn,Sách tham khảo,Cơ thể,Sea to Sea Publications,"Explains the various systems in the body, including the muscular, digestive, and respiratory systems.",10-12 tuổi
3903,How bodies work,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/How-bodies-work.jpg,25-6,056,Claire Llewellyn,Sách tham khảo,Cơ thể,Sea to Sea Publications,"Explains the various systems in the body, including the muscular, digestive, and respiratory systems.",10-12 tuổi
3922,How do islands form?,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/How-do-islands-form.jpg,27-6,038,Christina Wilsdon,Sách tham khảo,Trái đất của chúng ta,Chelsea Clubhouse,"There are hundreds of islands on Earth, from the isle of Manhattan to the island chain of the Philippines. Some of these island are close to shore, while others are thousands of miles from other land. However, these islands did not appear overnight. It often took thousands or millions of years for them to form. How Do Islands Form? uncovers the science of island formation, showing the science of real-world occurrences through full-color photographs and illustrations sure to captivate young readers.",10-12 tuổi
3926,How do my senses work?,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/How-do-my-senses-work.jpg,25-6,082,Mike Jackson,Sách tham khảo,Cơ thể,Evans Brothers,"In How do my senses work? children are introduced to their five senses in a fun and informative way as they taste apples, smell flowers and listen to the sounds all around them. ",10-12 tuổi
3927,How do my senses work?,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/How-do-my-senses-work.jpg,25-6,080,Mike Jackson,Sách tham khảo,Cơ thể,Evans Brothers,"In How do my senses work? children are introduced to their five senses in a fun and informative way as they taste apples, smell flowers and listen to the sounds all around them. ",10-12 tuổi
3958,How long is a year?,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/How-long-is-a-year.jpg,27-6,042,Claire Clark,Sách tham khảo,Trái đất của chúng ta,Capstone Press,"A lot happens in a year! As Earth makes one trip around the sun, four seasons come and go. And you get another year older! Find out more in How long is a year?",10-12 tuổi
4072,Human body,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Human-body.jpg,25-6,001,Steve Parker,Sách tham khảo,Cơ thể,DK Children,"Combining up-to-the-minute descriptions and illustrations of the body's physical structure, chemical workings, and potential problems, The Human Body book is the ultimate all-in-one guide perfect for families and students alike. With updated content and illustrations throughout - including a new section on aging in the human body and the latest in medical advances, as well as an accompanying DVD with added animation of the breathing and digestive processes. The Human Body Book is the perfect introduction to our inner workings.",10-12 tuổi
4083,Hurricanes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Hurricanes.jpg,27-5,043,Marcie Aboff,Sách tham khảo,Trái đất của chúng ta,Capstone Press,"In graphic novel format, text and illustrations explain how hurricanes form, how they are named and measured, and how to stay safe during one.",10-12 tuổi
4156,I know someone with HIV/AIDS,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/I-know-someone-with-HIV.AIDS_.png,26-3,042,Elizabeth Raum,Sách tham khảo,Cuộc sống thường ngày,Heinemann,"This book introduces readers to what HIV/AIDS are, how they affect people, and what they can do to be a good friend to someone living with HIV/AIDS.",10-12 tuổi
4202,"I see, sing and read",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/I-see-sing-and-read.jpg,25-6,081,Joann Cleland,Sách tham khảo,Cơ thể,Rourke Publishing Group,"Introduces readers to the sense of sight through a song set to the tune ""The farmer in the dell.""",10-12 tuổi
4203,"I smell, sing and read",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/I-smell-sing-and-read.jpg,25-6,071,Joann Cleland,Sách tham khảo,Cơ thể,Rourke Publishing Group,Young children will delight in singing along and learning about their sense of smell. A must for emergent readers.,10-12 tuổi
4214,"I touch, sing and read",https://lotuscommunity.org.vn/wp-content/uploads/2021/10/I-touch-sing-and-read.jpg,25-6,063,Joann Cleland,Sách tham khảo,Cơ thể,Rourke Educational Media,"An introduction to the sense of touch that can be sung to the tune ""The wheels on the bus"".",10-12 tuổi
4226,I want your moo,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/I-want-your-moo.jpg,11-4,025,Marcella Bakur Weiner,Sách truyện thiếu nhi,7 - 9 tuổi,American Psychological Association,"This is a new edition of one of the bestselling books from Magination Press, featuring new illustrations, catchier text, and a new Note to Parents written by the authors. It takes a lighthearted - and visually appealing - look at a serious subject. It features new - and irresistible - illustrations by a well-known illustrator. It is a book that can be read and enjoyed over and over again.",Age 7 - 9 
4302,I'm a happy hugglewug,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/I_m-a-happy-hugglewug.jpg,8-3,063,Niamh Sharkey,Sách truyện thiếu nhi,7 - 9 tuổi,Candlewick,"Meet the Hugglewugs, a brand-new family - in fact, a brand-new species. Follow them as they go about their everyday lives, singing, eating, going to school, running, sliding, skipping, and, of course, hugging. Niamh Sharkey's bold and bright illustrations bring these energetic characters to life, while her simple story welcomes children to join in their rhymes and games.",Age 7 - 9 
4310,I'm me,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/I_m-me.jpg,17-3,014,Sara Sheridan,Sách truyện thiếu nhi,7 - 9 tuổi,‎Chicken House,"Little Imogen doesn't want to play princess or pirate! Why pretend? Being herself is the most fun of all! The story of a girl who knows who she is: ""I'm Me!""

Grown-ups! Always telling kids what to do, how to act, and who to be! Imogen is excited to spend the day with her Auntie Sara, but which dress-up game does she want to play? Who is Imogen today? Is she a frilly princess in a poufy gown? A knight in shining armor, taming a flying dragon? An astronaut blasting off into space? ""No, no, no!"" Imogen sings, with a shake of her pigtails. She doesn't want to be any of those things!
""Well,"" Auntie Sara asks, ""if you're not a princess or a knight or an astronaut, who are you?""
""I'm me!"" Imogen declares. And that's the best role of all.",Age 7 - 9 
4311,I'm me,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/I_m-me.jpg,17-3,012,Sara Sheridan,Sách truyện thiếu nhi,7 - 9 tuổi,‎Chicken House,"Little Imogen doesn't want to play princess or pirate! Why pretend? Being herself is the most fun of all! The story of a girl who knows who she is: ""I'm Me!""

Grown-ups! Always telling kids what to do, how to act, and who to be! Imogen is excited to spend the day with her Auntie Sara, but which dress-up game does she want to play? Who is Imogen today? Is she a frilly princess in a poufy gown? A knight in shining armor, taming a flying dragon? An astronaut blasting off into space? ""No, no, no!"" Imogen sings, with a shake of her pigtails. She doesn't want to be any of those things!
""Well,"" Auntie Sara asks, ""if you're not a princess or a knight or an astronaut, who are you?""
""I'm me!"" Imogen declares. And that's the best role of all.",Age 7 - 9 
4252,Ice,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Ice.jpg,27-5,088,Helen Frost,Sách tham khảo,Trái đất của chúng ta,Capstone Pres,"Text and photographs present ice, how it is formed, and how it affects the Earth and people.",10-12 tuổi
